method,comparator,wins,ties,losses,mean_diff,wilcoxon_p
gaindistill,random,206,159,1195,-0.2040084591625132,3.242598270702497e-190
gaindistill,herding,142,156,1262,-0.2133012793102246,7.93968864132606e-207
gaindistill,gain_path_herding,177,156,1227,-0.22393134722358915,1.8355383232269037e-199
gaindistill,gain_herding,173,159,1228,-0.2240439799609455,1.7399634183106137e-201
gaindistill_anchor,random,125,0,55,0.021898092928350984,1.3272148396724885e-08
gaindistill_anchor,herding,98,0,82,0.010060677842388658,0.09256023382352632
gaindistill_anchor,gain_path_herding,68,1,111,-0.005330552574314672,0.00015341169020938164
gaindistill_anchor,gain_herding,67,0,113,-0.0063840748617680805,0.0031139901475410454
gaindistill_full,random,120,0,60,0.017506900079723223,4.530174434252076e-06
gaindistill_full,herding,95,1,84,0.005669484993760901,0.3958031217859621
gaindistill_full,gain_path_herding,68,0,112,-0.009721745422942428,9.784297169180614e-06
gaindistill_full,gain_herding,63,0,117,-0.010775267710395836,0.00039828012657323875
gaindistill_hybrid,random,926,160,474,0.011010161825717044,3.4286180476983743e-28
gaindistill_hybrid,herding,836,156,568,0.0017173416780056122,1.1518978714021888e-06
gaindistill_hybrid,gain_path_herding,596,157,807,-0.00891272623535891,1.6345795628900401e-12
gaindistill_hybrid,gain_herding,595,161,804,-0.00902535897271526,3.3146380301307454e-12
gaindistill_path_hybrid,random,950,159,451,0.014062402075044722,1.7510948789330216e-34
gaindistill_path_hybrid,herding,866,158,536,0.004769581927333289,2.7292258271185295e-13
gaindistill_path_hybrid,gain_path_herding,601,161,798,-0.005860485986031233,2.2181361076997208e-11
gaindistill_path_hybrid,gain_herding,656,161,743,-0.005973118723387582,0.0010605049134024597
gradient_sampling,random,216,158,1186,-0.3031388988503243,2.1198713689507706e-187
gradient_sampling,herding,177,157,1226,-0.3124317189980358,3.219470071700503e-198
gradient_sampling,gain_path_herding,187,157,1216,-0.3230617869114003,7.061293769542331e-191
gradient_sampling,gain_herding,175,160,1225,-0.3231744196487566,9.579864007652864e-194
herding,random,749,158,653,0.009292820147711434,8.811119161048865e-07
herding,gain_path_herding,473,156,931,-0.010630067913364523,1.6932713464339273e-27
herding,gain_herding,473,157,930,-0.010742700650720872,6.259192019583698e-24
k_center,random,551,157,852,-0.024114233491994586,7.520976680444166e-34
k_center,herding,484,156,920,-0.033407053639706016,2.9987819735483e-58
k_center,gain_path_herding,366,156,1038,-0.044037121553070546,6.758676535176037e-99
k_center,gain_herding,380,158,1022,-0.0441497542904269,3.043124505240507e-95
math_full,random,18,0,2,0.015385600109711578,0.0010166168212890625
math_full,herding,9,0,11,0.004833204232801999,0.8694877624511719
math_full,gain_path_herding,9,0,11,0.01043376122401333,0.7841262817382812
math_full,gain_herding,6,0,14,-0.011922635080224947,0.012079238891601562
math_no_anchor,random,17,0,3,0.01795152385915713,0.0003223419189453125
math_no_anchor,herding,10,0,10,0.0073991279822475525,0.5705966949462891
math_no_anchor,gain_path_herding,9,0,11,0.012999684973458884,0.7841262817382812
math_no_anchor,gain_herding,5,0,15,-0.009356711330779394,0.013616561889648438
math_no_hist,random,17,0,3,0.018078041607133086,0.0001049041748046875
math_no_hist,herding,11,0,9,0.007525645730223507,0.49800872802734375
math_no_hist,gain_path_herding,7,0,13,0.013126202721434837,0.49800872802734375
math_no_hist,gain_herding,5,0,15,-0.009230193582803439,0.00830841064453125
math_no_newton,random,18,0,2,0.019376569797131406,6.29425048828125e-05
math_no_newton,herding,11,0,9,0.008824173920221825,0.36827659606933594
math_no_newton,gain_path_herding,8,0,12,0.014424730911433157,0.6742229461669922
math_no_newton,gain_herding,6,0,14,-0.007931665392805121,0.01923370361328125
math_no_probes,random,14,1,5,0.009375590539306292,0.07661792341167123
math_no_probes,herding,9,0,11,-0.0011768053376032873,0.7561664581298828
math_no_probes,gain_path_herding,5,0,15,0.004423751653608044,0.039989471435546875
math_no_probes,gain_herding,7,0,13,-0.01793264465063023,0.05316925048828125
math_no_soft_routing,random,12,1,7,-0.006316853506052119,0.6008710115741303
math_no_soft_routing,herding,9,0,11,-0.0168692493829617,0.47490501403808594
math_no_soft_routing,gain_path_herding,9,0,11,-0.011268692391750369,0.20244979858398438
math_no_soft_routing,gain_herding,6,0,14,-0.033625088695988646,0.0072956085205078125
math_root_only,random,15,0,5,-0.003646786328231827,0.029575347900390625
math_root_only,herding,11,0,9,-0.014199182205141405,0.9854354858398438
math_root_only,gain_path_herding,7,0,13,-0.008598625213930075,0.05316925048828125
math_root_only,gain_herding,6,0,14,-0.03095502151816835,0.00830841064453125
math_tuned,random,25,1,14,0.000672263188980586,0.335600291128763
math_tuned,herding,23,0,17,0.01061873059131146,0.25349167909553216
math_tuned,gain_path_herding,14,0,26,-0.007341688388467467,0.03207873742940137
math_tuned,gain_herding,13,1,26,-0.010786949013163391,0.01905569412074879
math_tuned_more_probes,random,25,0,15,0.003342815184648469,0.32030806105103693
math_tuned_more_probes,herding,23,0,17,0.013289282586979343,0.20159339489509875
math_tuned_more_probes,gain_path_herding,11,0,29,-0.004671136392799586,0.03812944412311481
math_tuned_more_probes,gain_herding,15,0,25,-0.008116397017495508,0.10289067040321243
math_tuned_no_anchor,random,26,1,13,0.0065153973534917,0.11806205837142204
math_tuned_no_anchor,herding,25,0,15,0.016461864755822574,0.0770006142774946
math_tuned_no_anchor,gain_path_herding,14,0,26,-0.001498554223956354,0.033219984823517734
math_tuned_no_anchor,gain_herding,14,0,26,-0.004943814848652276,0.049760567819248536
math_tuned_no_hist,random,24,1,15,0.0014798096209230351,0.41829092183768823
math_tuned_no_hist,herding,22,1,17,0.011426277023253908,0.2765956516359438
math_tuned_no_hist,gain_path_herding,14,0,26,-0.006534141956525019,0.03944668134499807
math_tuned_no_hist,gain_herding,13,0,27,-0.009979402581220941,0.01899990341407026
random,herding,653,158,749,-0.009292820147711434,8.811119161048865e-07
random,gain_path_herding,376,158,1026,-0.019922888061075953,2.552545361997174e-60
random,gain_herding,376,159,1025,-0.0200355207984323,3.097062624845884e-61
refined_no_conf,random,196,2,42,0.028731319611459732,4.787057163647107e-22
refined_no_conf,herding,167,1,72,0.016854059256461957,1.7193156169861215e-10
refined_no_conf,gain_path_herding,117,2,121,0.0025509892854535133,0.9869505507585643
refined_no_conf,gain_herding,121,0,119,0.002454922985859163,0.07871242733728465
refined_no_gain_weight,random,199,2,39,0.03227499270734941,1.7504369123402667e-25
refined_no_gain_weight,herding,165,1,74,0.02039773235235164,3.1770072881436896e-12
refined_no_gain_weight,gain_path_herding,120,2,118,0.0060946623813431956,0.2928404801248675
refined_no_gain_weight,gain_herding,120,1,119,0.005998596081748845,0.0445911026398967
refined_no_grad,random,199,1,40,0.029163178067471908,3.119941218971939e-23
refined_no_grad,herding,170,0,70,0.017285917712474133,4.482425962335913e-09
refined_no_grad,gain_path_herding,129,0,111,0.002982847741465692,0.8457200476115658
refined_no_grad,gain_herding,133,1,106,0.0028867814418713418,0.10309469584724928
refined_no_hess,random,193,0,47,0.030512124709411177,3.4335213655159946e-21
refined_no_hess,herding,162,0,78,0.018634864354413406,8.916032178666103e-09
refined_no_hess,gain_path_herding,120,3,117,0.004331794383404962,0.4611557634285871
refined_no_hess,gain_herding,131,2,107,0.0042357280838106115,0.01777909632919971
refined_no_path,random,185,0,55,0.02632790111403917,1.3664736260365021e-17
refined_no_path,herding,162,1,77,0.0144506407590414,1.6485620808665064e-07
refined_no_path,gain_path_herding,107,0,133,0.00014757078803295567,0.0455837790209221
refined_no_path,gain_herding,111,3,126,5.150448843860497e-05,0.3006968535776108
refined_no_raw,random,181,0,59,0.02575186940077865,7.920433937944576e-16
refined_no_raw,herding,157,0,83,0.013874609045780877,6.569130028290528e-07
refined_no_raw,gain_path_herding,115,0,125,-0.00042846092522756603,0.6101163040373498
refined_no_raw,gain_herding,119,2,119,-0.0005245272248219167,0.7067678686041785
refined_no_refine,random,192,0,48,0.026178317443558554,9.400463913987655e-20
refined_no_refine,herding,155,0,85,0.01430105708856078,9.604121681325049e-08
refined_no_refine,gain_path_herding,1,237,2,-2.0128824476638627e-06,0.6830913983096087
refined_no_refine,gain_herding,121,3,116,-9.807918204201455e-05,0.25908788808981387
refined_path_occupancy_only,random,192,2,46,0.027523113792346274,1.6537868526749734e-20
refined_path_occupancy_only,herding,167,0,73,0.015645853437348495,3.5150986582373413e-07
refined_path_occupancy_only,gain_path_herding,116,1,123,0.0013427834663400535,0.589697986373034
refined_path_occupancy_only,gain_herding,125,0,115,0.0012467171667457026,0.7164866770242463
sketch_no_conf,random,16,0,9,0.010987570519344457,0.023649930953979492
sketch_no_conf,herding,22,0,3,0.010776908513282564,0.002507925033569336
sketch_no_conf,gain_path_herding,10,0,15,-0.0029569608638091173,0.3525196313858032
sketch_no_conf,gain_herding,5,10,10,-0.0023099873085197587,0.15563546075803855
sketch_no_gain_weight,random,16,0,9,0.013015666016901913,0.018744707107543945
sketch_no_gain_weight,herding,22,0,3,0.01280500401084002,0.0014527440071105957
sketch_no_gain_weight,gain_path_herding,8,0,17,-0.000928865366251661,0.25210392475128174
sketch_no_gain_weight,gain_herding,5,10,10,-0.00028189181096230256,0.19144640357050802
sketch_no_grad,random,22,0,3,0.01847565990110981,2.2113323211669922e-05
sketch_no_grad,herding,22,0,3,0.01826499789504792,0.0008900577084731623
sketch_no_grad,gain_path_herding,17,0,8,0.0045311285179562375,0.11238142702873126
sketch_no_grad,gain_herding,16,0,9,0.005178102073245597,0.325391948223114
sketch_no_hess,random,20,0,5,0.012090159630865828,0.0003113254083233613
sketch_no_hess,herding,20,0,5,0.011879497624803937,0.001625359058380127
sketch_no_hess,gain_path_herding,10,0,15,-0.0018543717522877445,0.3525196313858032
sketch_no_hess,gain_herding,8,0,17,-0.001207398196998386,0.10139739513397217
sketch_no_raw,random,20,0,5,0.017136008007819673,0.0006313323974609375
sketch_no_raw,herding,20,1,4,0.016925346001757782,0.0030878782272338867
sketch_no_raw,gain_path_herding,15,0,10,0.003191476624666101,0.4418373703956604
sketch_no_raw,gain_herding,12,0,13,0.003838450179955459,0.8611559780689877
sketch_occupancy_only,random,18,0,7,0.012159500690020643,0.021908342838287354
sketch_occupancy_only,herding,18,0,7,0.01194883868395875,0.02747941017150879
sketch_occupancy_only,gain_path_herding,7,0,18,-0.0017850306931329297,0.1538119480712651
sketch_occupancy_only,gain_herding,9,0,16,-0.001138057137843571,0.3809836506843567
tree_region,random,216,158,1186,-0.3031388988503243,2.1198713689507706e-187
tree_region,herding,177,157,1226,-0.3124317189980358,3.219470071700503e-198
tree_region,gain_path_herding,187,157,1216,-0.3230617869114003,7.061293769542331e-191
tree_region,gain_herding,175,160,1225,-0.3231744196487566,9.579864007652864e-194
