kind,path,dataset,method,budget,seed,learner,accuracy,auroc,backend,log_loss,train_rows,train_seconds
downstream,adult\distribution_matching\budget_100\seed_2\mlp\metrics.json,adult,distribution_matching,budget_100,seed_2,mlp,0.766,0.5037194473963869,sklearn_mlp,3.226902971342951,200,0.03159679999953369
downstream,adult\distribution_matching\budget_100\seed_2\random_forest\metrics.json,adult,distribution_matching,budget_100,seed_2,random_forest,0.76825,0.8740432145836105,sklearn_random_forest,0.49329368796212414,200,0.5603502999992998
downstream,adult\distribution_matching\budget_100\seed_2\xgboost\metrics.json,adult,distribution_matching,budget_100,seed_2,xgboost,0.77575,0.8827390057178708,xgboost,0.48496264986801985,200,0.03510730000016338
downstream,adult\distribution_matching\budget_25\seed_0\catboost\metrics.json,adult,distribution_matching,budget_25,seed_0,catboost,0.711,0.7584415805488864,sklearn_hist_gradient_boosting,0.666717560129623,50,0.13881650000075751
downstream,adult\distribution_matching\budget_25\seed_0\lightgbm\metrics.json,adult,distribution_matching,budget_25,seed_0,lightgbm,0.68625,0.7707777853819968,lightgbm,0.6270554732456506,50,0.016666599999553
downstream,adult\distribution_matching\budget_25\seed_0\mlp\metrics.json,adult,distribution_matching,budget_25,seed_0,mlp,0.77375,0.5197071827561326,sklearn_mlp,3.122788712032176,50,0.020744199999171542
downstream,adult\distribution_matching\budget_25\seed_0\random_forest\metrics.json,adult,distribution_matching,budget_25,seed_0,random_forest,0.73425,0.8499030230476157,sklearn_random_forest,0.5110603001874359,50,0.5554915000002438
downstream,adult\distribution_matching\budget_25\seed_0\xgboost\metrics.json,adult,distribution_matching,budget_25,seed_0,xgboost,0.7245,0.8320398441003862,xgboost,0.6256860993385176,50,0.03232970000044588
downstream,adult\distribution_matching\budget_25\seed_1\catboost\metrics.json,adult,distribution_matching,budget_25,seed_1,catboost,0.6345,0.7366765687494159,sklearn_hist_gradient_boosting,0.6778059969759089,50,0.18669450000015786
downstream,adult\distribution_matching\budget_25\seed_1\lightgbm\metrics.json,adult,distribution_matching,budget_25,seed_1,lightgbm,0.6265,0.7223061581320116,lightgbm,0.6715581290448106,50,0.015909699999610893
downstream,adult\distribution_matching\budget_25\seed_1\mlp\metrics.json,adult,distribution_matching,budget_25,seed_1,mlp,0.23375,0.4962805526036132,sklearn_mlp,10.586115431284345,50,0.02154939999945782
downstream,adult\distribution_matching\budget_25\seed_1\random_forest\metrics.json,adult,distribution_matching,budget_25,seed_1,random_forest,0.71925,0.8422251164574561,sklearn_random_forest,0.527196444047631,50,0.5615530000004583
downstream,adult\distribution_matching\budget_25\seed_1\xgboost\metrics.json,adult,distribution_matching,budget_25,seed_1,xgboost,0.7105,0.8242837723148606,xgboost,0.5834731117521097,50,0.02935689999958413
downstream,adult\distribution_matching\budget_25\seed_2\catboost\metrics.json,adult,distribution_matching,budget_25,seed_2,catboost,0.7075,0.7821060065957529,sklearn_hist_gradient_boosting,0.702824206871498,50,0.29916549999961717
downstream,adult\distribution_matching\budget_25\seed_2\lightgbm\metrics.json,adult,distribution_matching,budget_25,seed_2,lightgbm,0.6495,0.7721366438783277,lightgbm,0.6966124289047863,50,0.027733799999623443
downstream,adult\distribution_matching\budget_25\seed_2\mlp\metrics.json,adult,distribution_matching,budget_25,seed_2,mlp,0.23525,0.5,sklearn_mlp,10.565411939507982,50,0.09580120000009629
downstream,adult\distribution_matching\budget_25\seed_2\random_forest\metrics.json,adult,distribution_matching,budget_25,seed_2,random_forest,0.71175,0.8372188962449092,sklearn_random_forest,0.6049461826396413,50,0.5232198000003336
downstream,adult\distribution_matching\budget_25\seed_2\xgboost\metrics.json,adult,distribution_matching,budget_25,seed_2,xgboost,0.708,0.824432112485622,xgboost,0.8091808717274038,50,0.029026799999883224
downstream,adult\distribution_matching\budget_50\seed_0\catboost\metrics.json,adult,distribution_matching,budget_50,seed_0,catboost,0.70575,0.8221469095739857,sklearn_hist_gradient_boosting,0.7151675192138895,100,0.45273030000043946
