budget,learner,ablation_full,ablation_no_child,ablation_no_entropy_anneal,ablation_no_gain,ablation_no_hist,ablation_no_margin,ablation_no_marginal,ablation_no_newton,ablation_no_pairwise,distribution_matching,full_data,gain_herding,gain_path_diverse,gain_path_dual,gain_path_herding,gain_path_prior_weighted,gain_path_refined,gain_path_refined_weighted,gain_path_safeguarded,gain_weighted_coreset,gaindistill,gaindistill_anchor,gaindistill_full,gaindistill_hybrid,gaindistill_path_hybrid,gradient_sampling,herding,k_center,math_full,math_no_anchor,math_no_hist,math_no_newton,math_no_probes,math_no_soft_routing,math_root_only,math_tuned,math_tuned_more_probes,math_tuned_no_anchor,math_tuned_no_hist,random,refined_no_conf,refined_no_gain_weight,refined_no_grad,refined_no_hess,refined_no_path,refined_no_raw,refined_no_refine,refined_path_occupancy_only,sketch_no_conf,sketch_no_gain_weight,sketch_no_grad,sketch_no_hess,sketch_no_raw,sketch_occupancy_only,tree_region
budget_10,catboost,,,,,,,,,,0.5,0.8382905172507207,0.5,,,0.5,,,,,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.5
budget_10,lightgbm,,,,,,,,,,0.5,0.8220929515989865,0.5,,,0.5,,,,,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.5
budget_10,mlp,,,,,,,,,,0.6077095850982561,0.7358673426966965,0.6282901391392369,,,0.6406981974823747,,,,,0.6043192348230935,0.479716812541179,,,0.6043192348230935,0.6351082308852422,0.38154652111649767,0.6611694829118431,0.5778488808372856,,,,,,,,,,,,0.602485779805209,,,,,,,,,,,,,,,0.38154652111649767
budget_10,random_forest,,,,,,,,,,0.713007618796013,0.8338548217279734,0.7516053675316142,,,0.7538469024736767,,,,,0.7502205825112507,0.5101495751226889,,,0.7502205825112507,0.746464954499059,0.29689702393530004,0.7454506385240111,0.693153817458624,,,,,,,,,,,,0.7082571986149764,,,,,,,,,,,,,,,0.29689702393530004
budget_10,xgboost,,,,,,,,,,0.6934441673024091,0.8292154144647168,0.7324506984023222,,,0.732707521938678,,,,,0.7555456910008002,0.4960962714686129,,,0.7555456910008002,0.7447992398926614,0.3141547846703778,0.7254516206787086,0.6617845368210685,,,,,,,,,,,,0.6853520421797247,,,,,,,,,,,,,,,0.3141547846703778
budget_100,catboost,,,,,,,,,,0.738502291523142,0.8382905172507207,0.8141221661553358,,,0.8144300256133594,,,,,0.8089963147588534,0.4897703004044142,,,0.8089963147588534,0.8088545457438462,0.4906258665750597,0.790254239903348,0.769235706940046,,,,,,,,,,,,0.8022180957245009,,,,,,,,,,,,,,,0.4906258665750597
budget_100,lightgbm,,,,,,,,,,0.7408042797414318,0.8220929515989865,0.8101992291299657,,,0.8141178671980462,,,,,0.8037524005122905,0.5043979524054414,,,0.8037524005122905,0.8038303848948544,0.48011558484338973,0.7943920544701967,0.7717626446142057,,,,,,,,,,,,0.7997412239999366,,,,,,,,,,,,,,,0.48011558484338973
budget_100,mlp,,,,,,,,,,0.6371467890644152,0.7358673426966965,0.6969350486683431,,,0.693830795383457,,,,,0.6394247610879508,0.48352640079217585,,,0.6394247610879508,0.659305329883956,0.49703097805789026,0.6937170663723957,0.6687625949907929,,,,,,,,,,,,0.6898898519130862,,,,,,,,,,,,,,,0.49703097805789026
budget_100,random_forest,,,,,,,,,,0.7456861190674778,0.8338548217279734,0.8089621672151103,,,0.8077588024137932,,,,,0.8068328764042166,0.5211676656648652,,,0.8068328764042166,0.8033097201266666,0.4910409339528957,0.7928029469151449,0.7746021991149907,,,,,,,,,,,,0.7973625387403358,,,,,,,,,,,,,,,0.4910409339528957
budget_100,xgboost,,,,,,,,,,0.7481898042754354,0.8292154144647168,0.8171575060892413,,,0.814816214594149,,,,,0.8097985864932908,0.5000749478403953,,,0.8097985864932908,0.8050361344070112,0.4788704806309746,0.7929270239172639,0.7825442380560473,,,,,,,,,,,,0.8034994186578499,,,,,,,,,,,,,,,0.4788704806309746
