kind,path,dataset,method,budget,seed,backend,gain_rank_correlation,root_agreement,top5_overlap,train_seconds
split_fidelity,adult\gaindistill_anchor\budget_25\seed_1\split_fidelity.json,adult,gaindistill_anchor,budget_25,seed_1,xgboost,0.2302099231493059,0.0,0.0,0.023743900001136353
split_fidelity,adult\gaindistill_anchor\budget_25\seed_2\split_fidelity.json,adult,gaindistill_anchor,budget_25,seed_2,xgboost,0.3121592633306144,0.0,0.0,0.01828630000090925
split_fidelity,adult\gaindistill_anchor\budget_50\seed_0\split_fidelity.json,adult,gaindistill_anchor,budget_50,seed_0,xgboost,0.31731293914591446,0.0,0.0,0.025132099999609636
split_fidelity,adult\gaindistill_anchor\budget_50\seed_1\split_fidelity.json,adult,gaindistill_anchor,budget_50,seed_1,xgboost,0.2012778252738801,0.0,0.2,0.020538400000077672
split_fidelity,adult\gaindistill_anchor\budget_50\seed_2\split_fidelity.json,adult,gaindistill_anchor,budget_50,seed_2,xgboost,0.24479435453962453,0.0,0.2,0.01894700000048033
split_fidelity,adult\gaindistill_full\budget_25\seed_0\split_fidelity.json,adult,gaindistill_full,budget_25,seed_0,xgboost,0.41099732563313196,0.0,0.4,0.02963369999997667
split_fidelity,adult\gaindistill_full\budget_25\seed_1\split_fidelity.json,adult,gaindistill_full,budget_25,seed_1,xgboost,0.2302099231493059,0.0,0.0,0.027879100000063772
split_fidelity,adult\gaindistill_full\budget_25\seed_2\split_fidelity.json,adult,gaindistill_full,budget_25,seed_2,xgboost,0.3121592633306144,0.0,0.0,0.027498200000991346
split_fidelity,adult\gaindistill_full\budget_50\seed_0\split_fidelity.json,adult,gaindistill_full,budget_50,seed_0,xgboost,0.31731293914591446,0.0,0.0,0.028074500000002445
split_fidelity,adult\gaindistill_full\budget_50\seed_1\split_fidelity.json,adult,gaindistill_full,budget_50,seed_1,xgboost,0.2012778252738801,0.0,0.2,0.028866299999208422
split_fidelity,adult\gaindistill_full\budget_50\seed_2\split_fidelity.json,adult,gaindistill_full,budget_50,seed_2,xgboost,0.24479435453962453,0.0,0.2,0.026536299999861512
split_fidelity,adult\gaindistill_hybrid\budget_10\seed_0\split_fidelity.json,adult,gaindistill_hybrid,budget_10,seed_0,xgboost,0.3279250721249386,0.0,0.0,0.037575799999103765
split_fidelity,adult\gaindistill_hybrid\budget_10\seed_1\split_fidelity.json,adult,gaindistill_hybrid,budget_10,seed_1,xgboost,0.31533480229442845,0.0,0.0,0.03737890000047628
split_fidelity,adult\gaindistill_hybrid\budget_10\seed_2\split_fidelity.json,adult,gaindistill_hybrid,budget_10,seed_2,xgboost,0.2107111203008409,0.0,0.2,0.05841350000082457
split_fidelity,adult\gaindistill_hybrid\budget_100\seed_0\split_fidelity.json,adult,gaindistill_hybrid,budget_100,seed_0,xgboost,0.2560855871572462,0.0,0.2,0.05926329999965674
split_fidelity,adult\gaindistill_hybrid\budget_100\seed_1\split_fidelity.json,adult,gaindistill_hybrid,budget_100,seed_1,xgboost,0.48550852360026764,1.0,0.2,0.0623314999993454
split_fidelity,adult\gaindistill_hybrid\budget_100\seed_2\split_fidelity.json,adult,gaindistill_hybrid,budget_100,seed_2,xgboost,0.5352249576107674,0.0,0.4,0.06071390000033716
split_fidelity,adult\gaindistill_hybrid\budget_25\seed_0\split_fidelity.json,adult,gaindistill_hybrid,budget_25,seed_0,xgboost,0.08985067412645163,0.0,0.0,0.0722319000014977
split_fidelity,adult\gaindistill_hybrid\budget_25\seed_1\split_fidelity.json,adult,gaindistill_hybrid,budget_25,seed_1,xgboost,0.3259057233804611,0.0,0.0,0.04463039999973262
split_fidelity,adult\gaindistill_hybrid\budget_25\seed_2\split_fidelity.json,adult,gaindistill_hybrid,budget_25,seed_2,xgboost,0.17964052135816175,0.0,0.2,0.057759200000873534
split_fidelity,adult\gaindistill_hybrid\budget_50\seed_0\split_fidelity.json,adult,gaindistill_hybrid,budget_50,seed_0,xgboost,0.2255404203786126,0.0,0.0,0.07828449999942677
split_fidelity,adult\gaindistill_hybrid\budget_50\seed_1\split_fidelity.json,adult,gaindistill_hybrid,budget_50,seed_1,xgboost,0.47269601359229335,0.0,0.4,0.089737199999945
split_fidelity,adult\gaindistill_hybrid\budget_50\seed_2\split_fidelity.json,adult,gaindistill_hybrid,budget_50,seed_2,xgboost,0.4380901650731351,0.0,0.2,0.05658439999933762
split_fidelity,adult\gaindistill_path_hybrid\budget_10\seed_0\split_fidelity.json,adult,gaindistill_path_hybrid,budget_10,seed_0,xgboost,0.314257465775679,0.0,0.0,0.033368200000040815
split_fidelity,adult\gaindistill_path_hybrid\budget_10\seed_1\split_fidelity.json,adult,gaindistill_path_hybrid,budget_10,seed_1,xgboost,0.27917944043075094,0.0,0.2,0.02462030000060622
split_fidelity,adult\gaindistill_path_hybrid\budget_10\seed_2\split_fidelity.json,adult,gaindistill_path_hybrid,budget_10,seed_2,xgboost,0.15507070167214732,0.0,0.0,0.028445300000385032
split_fidelity,adult\gaindistill_path_hybrid\budget_100\seed_0\split_fidelity.json,adult,gaindistill_path_hybrid,budget_100,seed_0,xgboost,0.3759587368658533,0.0,0.2,0.04281690000061644
split_fidelity,adult\gaindistill_path_hybrid\budget_100\seed_1\split_fidelity.json,adult,gaindistill_path_hybrid,budget_100,seed_1,xgboost,0.5009910358435696,0.0,0.0,0.0395117999996728
split_fidelity,adult\gaindistill_path_hybrid\budget_100\seed_2\split_fidelity.json,adult,gaindistill_path_hybrid,budget_100,seed_2,xgboost,0.5371799166720655,0.0,0.4,0.04685989999961748
split_fidelity,adult\gaindistill_path_hybrid\budget_25\seed_0\split_fidelity.json,adult,gaindistill_path_hybrid,budget_25,seed_0,xgboost,0.34236273438041276,0.0,0.0,0.03216380000048957
split_fidelity,adult\gaindistill_path_hybrid\budget_25\seed_1\split_fidelity.json,adult,gaindistill_path_hybrid,budget_25,seed_1,xgboost,0.4964052583509893,0.0,0.2,0.03137889999925392
split_fidelity,adult\gaindistill_path_hybrid\budget_25\seed_2\split_fidelity.json,adult,gaindistill_path_hybrid,budget_25,seed_2,xgboost,0.22272135700524426,0.0,0.0,0.03015400000003865
split_fidelity,adult\gaindistill_path_hybrid\budget_50\seed_0\split_fidelity.json,adult,gaindistill_path_hybrid,budget_50,seed_0,xgboost,0.26461709137509365,0.0,0.0,0.10330509999948845
split_fidelity,adult\gaindistill_path_hybrid\budget_50\seed_1\split_fidelity.json,adult,gaindistill_path_hybrid,budget_50,seed_1,xgboost,0.409887568214015,0.0,0.0,0.04097440000077768
split_fidelity,adult\gaindistill_path_hybrid\budget_50\seed_2\split_fidelity.json,adult,gaindistill_path_hybrid,budget_50,seed_2,xgboost,0.3689676002697299,0.0,0.2,0.04500060000100348
split_fidelity,adult\gain_herding\budget_10\seed_0\split_fidelity.json,adult,gain_herding,budget_10,seed_0,xgboost,0.3613204879203381,0.0,0.2,0.030827300000964897
split_fidelity,adult\gain_herding\budget_10\seed_1\split_fidelity.json,adult,gain_herding,budget_10,seed_1,xgboost,0.31853719324255,0.0,0.0,0.02498389999891515
split_fidelity,adult\gain_herding\budget_10\seed_2\split_fidelity.json,adult,gain_herding,budget_10,seed_2,xgboost,0.3586260081286404,0.0,0.0,0.02585480000198004
split_fidelity,adult\gain_herding\budget_100\seed_0\split_fidelity.json,adult,gain_herding,budget_100,seed_0,xgboost,0.4237412248489276,0.0,0.0,0.0362795000000915
split_fidelity,adult\gain_herding\budget_100\seed_1\split_fidelity.json,adult,gain_herding,budget_100,seed_1,xgboost,0.5235453306233457,0.0,0.0,0.0333444000025338
split_fidelity,adult\gain_herding\budget_100\seed_2\split_fidelity.json,adult,gain_herding,budget_100,seed_2,xgboost,0.5270886152120989,0.0,0.0,0.03442110000105458
split_fidelity,adult\gain_herding\budget_25\seed_0\split_fidelity.json,adult,gain_herding,budget_25,seed_0,xgboost,0.5866170565110687,0.0,0.2,0.02624869999999646
split_fidelity,adult\gain_herding\budget_25\seed_1\split_fidelity.json,adult,gain_herding,budget_25,seed_1,xgboost,0.2531234317111621,0.0,0.2,0.022080900002038106
split_fidelity,adult\gain_herding\budget_25\seed_2\split_fidelity.json,adult,gain_herding,budget_25,seed_2,xgboost,0.44906911536329425,0.0,0.4,0.024236400000518188
split_fidelity,adult\gain_herding\budget_50\seed_0\split_fidelity.json,adult,gain_herding,budget_50,seed_0,xgboost,0.4344590678843475,0.0,0.2,0.026603200007230043
split_fidelity,adult\gain_herding\budget_50\seed_1\split_fidelity.json,adult,gain_herding,budget_50,seed_1,xgboost,0.4773363899756426,0.0,0.2,0.029838500006007962
split_fidelity,adult\gain_herding\budget_50\seed_2\split_fidelity.json,adult,gain_herding,budget_50,seed_2,xgboost,0.5580948781726035,0.0,0.2,0.026000400001066737
split_fidelity,adult\gain_path_diverse\budget_25\seed_0\split_fidelity.json,adult,gain_path_diverse,budget_25,seed_0,xgboost,0.4475998218880746,0.0,0.4,0.03176250000251457
split_fidelity,adult\gain_path_diverse\budget_50\seed_0\split_fidelity.json,adult,gain_path_diverse,budget_50,seed_0,xgboost,0.461029983506392,0.0,0.0,0.028503000001364853
split_fidelity,adult\gain_path_dual\budget_25\seed_0\split_fidelity.json,adult,gain_path_dual,budget_25,seed_0,xgboost,0.5255633801812775,0.0,0.2,0.02172470000004978
split_fidelity,adult\gain_path_dual\budget_50\seed_0\split_fidelity.json,adult,gain_path_dual,budget_50,seed_0,xgboost,0.6048731390150325,0.0,0.0,0.0316659999989497
split_fidelity,adult\gain_path_herding\budget_10\seed_0\split_fidelity.json,adult,gain_path_herding,budget_10,seed_0,xgboost,0.5842173256790932,0.0,0.4,0.025734799997735536
