method,n_cells,expected_cells,direct_sld_cells,root_sld_cells,complete,direct_sld_complete
histdistill_density,156,156,156,156,True,True
histdistill_greedy,156,156,156,156,True,True
histdistill_importance,156,156,156,156,True,True
histdistill_linear_coverage,156,156,156,156,True,True
histdistill_no_refine,156,156,156,156,True,True
histdistill_no_weight_fit,156,156,156,156,True,True
histdistill_refined,156,156,156,156,True,True
histdistill_root_only,156,156,156,156,True,True
