method,budget_10,budget_25,budget_50,method_label
gain_herding,0.6641676661279774,0.8143787744504462,0.8416765942241351,Gain sketch
gain_path_refined,0.6667490156955685,0.8244551279199761,0.8479338116379818,Gain-path refined
herding,0.67165427939983,0.8059004734726717,0.8232116823115897,Herding
random,0.6347979519441124,0.7807864089609832,0.826771085454134,Random
region_adaptive_refined,0.6695452378869873,0.8010393043764225,0.8249824773230664,Region adaptive refined
region_trajectory_refined,0.6600172643329689,0.8062808694716861,0.8312808097112796,Region trajectory refined
split_margin_refined,0.6678706944837044,0.813315643236949,0.8331684091837189,Split-margin refined
threshold_witness,0.5348121981770231,0.6473447854477946,0.7123821826135335,Threshold witness
trajectory_refined,0.666820462920269,0.8154347284572765,0.8495075728066039,Trajectory refined
