method,budget_25,budget_50
full_data,0.6256571833328277,0.6256541439755835
herding,-0.13663725108847116,-0.3575027873631464
histdistill,-3.297599375794906,-0.28965085495924714
k_center,-8.268736646748238,0.132911010771948
random,-1.0062365137255886,-0.3526579756979523
