method,budget_25,budget_50
full_data,0.9310256925754126,0.9310256925754126
herding,0.8861098307938939,0.905956864151174
histdistill,0.9028872303404243,0.917178260536629
k_center,0.8938675019047544,0.9105256484746368
random,0.8869513951695187,0.9072562464929521
