method,lightgbm,mlp,xgboost,method_label
gain_path_refined,0.8599652694579343,0.6923723319253984,0.8827206869816012,Legacy gain-path refined
herding,0.8587389382591244,0.6767709233564948,0.8708452364312883,Herding
histdistill_density,0.8542107418444123,0.6484269217817021,0.8802165164799693,HistDistill-Density
histdistill_refined,0.850687154103531,0.6863961087539558,0.8828675493926771,HistDistill-Refined
random,0.7990188575846982,0.6260827396856768,0.8460833542374782,Random
