dataset,dataset_label,n_train,methods,spearman_regret_auroc,spearman_p,top_speedup,top_speedup_method,best_auroc,best_auroc_method,full_auroc
covertype,Covertype,481012,5,-0.35909242322980395,0.5528147466433508,160.25617932271322,Gradient sampling,0.7921134564602614,Random,0.8972407845721433
susy,SUSY,4500000,5,-0.9746794344808963,0.004818230468198565,1864.1692414773036,Gradient sampling,0.8386677136737576,Random,0.8734480677656881
higgs,HIGGS,10500000,5,0.11180339887498948,0.8579446176050993,5733.9737243237605,Gradient sampling,0.6866266364827586,Random,0.8025301897977196
