dataset,method,method_label,budget,seed,learner,deployed_r2,leaf_refit_r2,leaf_estimate_recovery,leaf_population_l1,train_rows,status,full_deployed_r2,structure_ref_r2,structure_error,total_gap
diabetes_regression,histdistill,HistDistill,budget_25,seed_0,xgboost,0.13656893662276848,0.4154318445168975,0.27886290789412904,0.18704545454545454,25,ok,0.2820249662876654,0.30450210467769157,-0.11092973983920595,0.1679331680549231
diabetes_regression,histdistill,HistDistill,budget_25,seed_0,lightgbm,-0.19404903725438083,-0.007750451860933705,0.18629858539344712,0.0,25,ok,0.2831215450498842,0.28312154521654753,0.29087199707748124,0.47717058247092836
diabetes_regression,histdistill,HistDistill,budget_50,seed_0,xgboost,0.25641760342897413,0.31149238120374134,0.055074777774767214,0.12973358585858585,50,ok,0.2820249662876654,0.30450210467769157,-0.006990276526049777,0.04808450124871744
diabetes_regression,histdistill,HistDistill,budget_50,seed_0,lightgbm,0.3386946219982311,0.35926713547816647,0.020572513479935384,0.046338744588744596,50,ok,0.2831215450498842,0.28312154521654753,-0.07614559026161893,-0.05557307678168355
diabetes_regression,random,Random,budget_25,seed_0,xgboost,-0.1207186278097454,0.260414730029233,0.3811333578389784,0.16557702020202023,25,ok,0.2820249662876654,0.30450210467769157,0.04408737464845858,0.42522073248743697
diabetes_regression,random,Random,budget_25,seed_0,lightgbm,-0.0001054301274472369,-0.007750451860933705,-0.007645021733486468,0.0,25,ok,0.2831215450498842,0.28312154521654753,0.29087199707748124,0.28322697534399477
diabetes_regression,random,Random,budget_50,seed_0,xgboost,-0.08171086903465952,0.28394745733424653,0.36565832636890605,0.15725252525252525,50,ok,0.2820249662876654,0.30450210467769157,0.02055464734344503,0.3862129737123511
diabetes_regression,random,Random,budget_50,seed_0,lightgbm,0.025085038663027803,0.20337748744850337,0.17829244878547557,0.06899134199134199,50,ok,0.2831215450498842,0.28312154521654753,0.07974405776804416,0.25803650655351973
diabetes_regression,herding,Herding,budget_25,seed_0,xgboost,0.22704532664116306,0.3412373494660783,0.11419202282491525,0.2580732323232323,25,ok,0.2820249662876654,0.30450210467769157,-0.036735244788386745,0.0774567780365285
diabetes_regression,herding,Herding,budget_25,seed_0,lightgbm,-0.2199589328458027,-0.007750451860933705,0.212208480984869,0.0,25,ok,0.2831215450498842,0.28312154521654753,0.29087199707748124,0.5030804780623502
diabetes_regression,herding,Herding,budget_50,seed_0,xgboost,0.1350082257300168,0.32451044125178297,0.18950221552176616,0.18329040404040403,50,ok,0.2820249662876654,0.30450210467769157,-0.0200083365740914,0.16949387894767476
diabetes_regression,herding,Herding,budget_50,seed_0,lightgbm,0.23521715384990205,0.3382895403184112,0.10307238646850914,0.028024891774891765,50,ok,0.2831215450498842,0.28312154521654753,-0.055167995101863654,0.04790439136664548
diabetes_regression,k_center,K-center,budget_25,seed_0,xgboost,-0.2482388101337616,0.26284836442820003,0.5110871745619616,0.2538093434343434,25,ok,0.2820249662876654,0.30450210467769157,0.04165374024949153,0.5527409148114532
diabetes_regression,k_center,K-center,budget_25,seed_0,lightgbm,-0.19013201189315843,-0.007750451860933705,0.18238156003222472,0.0,25,ok,0.2831215450498842,0.28312154521654753,0.29087199707748124,0.47325355710970596
diabetes_regression,k_center,K-center,budget_50,seed_0,xgboost,0.36480161550231405,0.3317892748358864,-0.033012340666427664,0.12548484848484848,50,ok,0.2820249662876654,0.30450210467769157,-0.027287170158194818,-0.06029951082462248
diabetes_regression,k_center,K-center,budget_50,seed_0,lightgbm,0.2911017797346337,0.3473191222982578,0.056217342563624095,0.02150541125541125,50,ok,0.2831215450498842,0.28312154521654753,-0.06419757708171026,-0.00798023451808616
diabetes_regression,full_data,Full data,budget_25,seed_0,xgboost,0.2820249662876654,0.30450210467769157,0.022477138390026186,0.0,264,ok,0.2820249662876654,0.30450210467769157,0.0,0.022477138390026186
diabetes_regression,full_data,Full data,budget_25,seed_0,lightgbm,0.2831215450498842,0.28312154521654753,1.6666334978765462e-10,0.0,264,ok,0.2831215450498842,0.28312154521654753,0.0,1.6666334978765462e-10
diabetes_regression,full_data,Full data,budget_50,seed_0,xgboost,0.2820249662876654,0.30450210467769157,0.022477138390026186,0.0,264,ok,0.2820249662876654,0.30450210467769157,0.0,0.022477138390026186
diabetes_regression,full_data,Full data,budget_50,seed_0,lightgbm,0.2831215450498842,0.28312154521654753,1.6666334978765462e-10,0.0,264,ok,0.2831215450498842,0.28312154521654753,0.0,1.6666334978765462e-10
california_housing,histdistill,HistDistill,budget_25,seed_0,xgboost,0.19346132493614154,0.5693409313573388,0.3758796064211972,0.20341087962962962,25,ok,0.7909011707679066,0.7877956810510209,0.21845474969368217,0.5943343561148794
california_housing,histdistill,HistDistill,budget_25,seed_0,lightgbm,-0.15284652097770524,-0.0006809565658252303,0.15216556441188,0.0,25,ok,0.7911060699184305,0.791105613202593,0.7917865697684182,0.9439521341802982
california_housing,histdistill,HistDistill,budget_50,seed_0,xgboost,0.5692149728460879,0.675558341663181,0.10634336881709305,0.13463773148148148,50,ok,0.7909011707679066,0.7877956810510209,0.11223733938783997,0.21858070820493303
california_housing,histdistill,HistDistill,budget_50,seed_0,lightgbm,0.3532625417267189,0.357333812289078,0.0040712705623591194,0.022757936507936505,50,ok,0.7911060699184305,0.791105613202593,0.43377180091351497,0.4378430714758741
california_housing,random,Random,budget_25,seed_0,xgboost,0.2956749888918858,0.6043039005355184,0.3086289116436326,0.15837962962962965,25,ok,0.7909011707679066,0.7877956810510209,0.18349178051550252,0.4921206921591351
california_housing,random,Random,budget_25,seed_0,lightgbm,-0.0011205563922487283,-0.0006809565658252303,0.00043959982642349793,0.0,25,ok,0.7911060699184305,0.791105613202593,0.7917865697684182,0.7922261695948417
california_housing,random,Random,budget_50,seed_0,xgboost,0.30549676946446735,0.6278834813666104,0.3223867119021431,0.15931134259259258,50,ok,0.7909011707679066,0.7877956810510209,0.1599121996844105,0.4822989115865536
california_housing,random,Random,budget_50,seed_0,lightgbm,0.2745869942927819,0.3682378400780285,0.09365084578524663,0.05080158730158731,50,ok,0.7911060699184305,0.791105613202593,0.42286777312456447,0.5165186189098111
california_housing,herding,Herding,budget_25,seed_0,xgboost,0.03748486296540687,0.5467807372115733,0.5092958742461664,0.2976597222222222,25,ok,0.7909011707679066,0.7877956810510209,0.24101494383944766,0.7503108180856141
california_housing,herding,Herding,budget_25,seed_0,lightgbm,-0.16189418766959252,-0.0006809565658252303,0.16121323110376728,0.0,25,ok,0.7911060699184305,0.791105613202593,0.7917865697684182,0.9529998008721855
california_housing,herding,Herding,budget_50,seed_0,xgboost,0.38348333518456357,0.6209638382571128,0.2374805030725492,0.24259606481481477,50,ok,0.7909011707679066,0.7877956810510209,0.16683184279390817,0.40431234586645737
california_housing,herding,Herding,budget_50,seed_0,lightgbm,0.41581255049468957,0.39690364538576817,-0.018908905108921403,0.0951140873015873,50,ok,0.7911060699184305,0.791105613202593,0.3942019678168248,0.3752930627079034
california_housing,k_center,K-center,budget_25,seed_0,xgboost,0.05021549588310603,0.5901252409748563,0.5399097450917503,0.2676365740740741,25,ok,0.7909011707679066,0.7877956810510209,0.19767044007616463,0.7375801851679149
california_housing,k_center,K-center,budget_25,seed_0,lightgbm,-0.13537664894382173,-0.0006809565658252303,0.1346956923779965,0.0,25,ok,0.7911060699184305,0.791105613202593,0.7917865697684182,0.9264822621464147
