method,auroc_mean,auroc_std,accuracy_mean,log_loss_mean,train_seconds_mean,n_cells,avg_rank,method_label
gain_path_refined,0.7430192527784545,0.18607953289452409,0.696733607412723,0.8327543774934083,0.32460112772324073,3250,2.5984615384615384,Legacy gain-path refined
histdistill_refined,0.7424592629624811,0.18585849574201127,0.7181680775855536,0.8112378321427524,0.3656729730464123,3250,2.6815384615384614,HistDistill-Refined
histdistill_density,0.742456186447327,0.18592452875542173,0.7167663871128995,0.8265477188134471,0.36706952759984585,3250,2.6496923076923076,HistDistill-Density
herding,0.7306250634548082,0.1759543212957997,0.6805006902320485,0.9537566737195533,0.4032827225844639,3250,3.441846153846154,Herding
random,0.7243877327827842,0.18439121267375397,0.6776576867836133,0.9006084864868977,0.3716838800612624,3250,3.6284615384615386,Random
