method,lightgbm,mlp,xgboost
full_data,0.6259691828999386,0.6219310099292347,0.6290667981334435
herding,0.06110679522651331,-1.0028709996518383,0.20055414674789862
histdistill,0.08250633049256216,-5.705612834775063,0.24223115815127097
k_center,0.023388073713872734,-12.30067246226623,0.07354593458792508
random,0.09296590621410637,-2.35204741550695,0.22073977515753226
