task,dataset,method,method_label,budget,seed,learner,train_rows,select_seconds,train_seconds,primary_metric,r2,mae,rmse
regression,diabetes_regression,random,Random,budget_50,seed_0,mlp,50,0.0002638000005390495,0.14408480000020063,-0.1075423628802783,-0.1075423628802783,60.924975705950445,75.36177027403527
regression,diabetes_regression,herding,Herding,budget_25,seed_0,xgboost,25,0.004765900001075352,0.02964799999972456,0.22704532664116306,0.22704532664116306,50.91264411840546,62.95756636044465
regression,diabetes_regression,herding,Herding,budget_25,seed_0,lightgbm,25,0.0047236000009434065,0.3089629000005516,-0.2199589328458027,-0.2199589328458027,62.202247191011246,79.09399715855088
regression,diabetes_regression,herding,Herding,budget_25,seed_0,mlp,25,0.005533100000320701,0.08509639999829233,-0.40247484600253647,-0.40247484600253647,67.32916774106829,84.80441421819809
regression,diabetes_regression,herding,Herding,budget_50,seed_0,xgboost,50,0.006168500000057975,0.04282160000002477,0.1350082257300168,0.1350082257300168,52.75899700636274,66.6004106556491
regression,diabetes_regression,herding,Herding,budget_50,seed_0,lightgbm,50,0.005096900000353344,0.321016599998984,0.23521715384990205,0.23521715384990205,50.5182491809772,62.62388225275072
regression,diabetes_regression,herding,Herding,budget_50,seed_0,mlp,50,0.004956199998559896,0.12980049999896437,-0.4039286571128524,-0.4039286571128524,69.66433021459687,84.84835713306398
regression,diabetes_regression,k_center,K-center,budget_25,seed_0,xgboost,25,0.02480730000024778,0.037563500000032946,-0.2482388101337616,-0.2482388101337616,60.70436481947309,80.00548439732324
regression,diabetes_regression,k_center,K-center,budget_25,seed_0,lightgbm,25,0.028631000001041684,0.004041999998662504,-0.19013201189315843,-0.19013201189315843,61.60674157303371,78.12112462298242
regression,diabetes_regression,k_center,K-center,budget_25,seed_0,mlp,25,0.027027199999793083,0.09792250000100466,0.22001075108921186,0.22001075108921186,50.46499239460806,63.24340243964669
regression,diabetes_regression,k_center,K-center,budget_50,seed_0,xgboost,50,0.03937000000041735,0.04369109999970533,0.36480161550231405,0.36480161550231405,44.406773170728364,57.07233099240585
regression,diabetes_regression,k_center,K-center,budget_50,seed_0,lightgbm,50,0.03170940000018163,0.010933999999906518,0.2911017797346337,0.2911017797346337,46.649715652695896,60.292440196124915
regression,diabetes_regression,k_center,K-center,budget_50,seed_0,mlp,50,0.03429890000006708,0.13428100000055565,0.19172385444258178,0.19172385444258178,49.91511304190989,64.37997432459603
regression,diabetes_regression,full_data,Full data,budget_25,seed_0,xgboost,264,1.0599998859106563e-05,0.06801629999972647,0.2820249662876654,0.2820249662876654,48.466081554970046,60.67720809182778
regression,diabetes_regression,full_data,Full data,budget_25,seed_0,lightgbm,264,1.2299999070819467e-05,0.026385799999843584,0.2831215450498842,0.2831215450498842,48.2213460670044,60.63085358086512
regression,diabetes_regression,full_data,Full data,budget_25,seed_0,mlp,264,1.7299998944508843e-05,0.9608109000000695,0.02583911354925683,0.02583911354925683,53.78411007999034,70.67832723423857
regression,diabetes_regression,full_data,Full data,budget_50,seed_0,xgboost,264,2.5299999833805487e-05,0.0696540000008099,0.2820249662876654,0.2820249662876654,48.466081554970046,60.67720809182778
regression,diabetes_regression,full_data,Full data,budget_50,seed_0,lightgbm,264,2.179999864893034e-05,0.026758600000903243,0.2831215450498842,0.2831215450498842,48.2213460670044,60.63085358086512
regression,diabetes_regression,full_data,Full data,budget_50,seed_0,mlp,264,1.300000076298602e-05,0.9544697999990603,0.02583911354925683,0.02583911354925683,53.78411007999034,70.67832723423857
