method,root_agreement,gain_rank_correlation,root_sld_inf_norm,sld_inf_norm,sld_root_agreement_direct,sld_rank_correlation_direct,sld_margin_satisfied_rate,n_cells,method_label
gain_path_refined,0.12307692307692308,0.3937407652444665,0.7505501534179254,18.39531118444235,0.30615384615384617,0.45926859136293136,0.04997497582198701,650,Legacy gain-path refined
herding,0.09538461538461539,0.33846550543138176,0.7738483501717877,34.599305509646946,0.19230769230769232,0.36068931996645853,0.03284281474261232,650,Herding
histdistill_density,0.11846153846153847,0.3908858065398799,0.7521359447860867,16.997879956930987,0.3153846153846154,0.4539970639717226,0.05052868904401411,650,HistDistill-Density
histdistill_refined,0.12923076923076923,0.3893308438706467,0.7516203772736394,16.72573137609204,0.32,0.4600215274907108,0.048656304708495704,650,HistDistill-Refined
random,0.11384615384615385,0.3359299397832713,0.7638561245138288,27.738084848220723,0.19230769230769232,0.393465266567038,0.024312676729478348,650,Random
