method,lightgbm,mlp,xgboost
full_data,0.9275523283899066,0.9382520485534459,0.9272727007828853
herding,0.8849333302769886,0.90945450647465,0.8937122056659633
histdistill,0.9024573727275657,0.9213837858515862,0.9062570777364279
k_center,0.8884217478126358,0.9198892101189179,0.8982787676375329
random,0.8898239957941089,0.9071854749846796,0.8943019917149179
