dataset,method,method_label,budget,seed,reg_lambda,probe_depth,sld_inf,sld_l1,sld_inf_norm,sld_l1_norm,sld_root_inf,sld_root_l1,sld_root_inf_norm,sld_root_l1_norm,sld_root_margin,sld_root_margin_satisfied,sld_root_agreement_direct,sld_rank_correlation_direct,sld_margin_satisfied_rate,sld_states,sld_depth_0_inf_norm,sld_depth_0_agreement,sld_depth_1_inf_norm,sld_depth_1_agreement,sld_depth_2_inf_norm,sld_depth_2_agreement
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,0.1,0,463.4478557511111,6867.406118391194,0.8353869548381807,0.12206344532096,274.14250480336545,4885.968843738474,0.2787653490389123,0.0487094173061618,190.46646526303266,0.0,0.0,0.9336738359193074,0.0,5.0,0.8353869548381807,0.2,,,,
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,0.1,1,362.20254169234425,6036.1682436424735,1.3576459789335975,0.2333480940834352,274.14250480336545,4885.968843738474,0.2787653490389123,0.0487094173061618,190.46646526303266,0.0,0.0,0.7631309559676223,0.0,13.0,0.8353869548381807,0.2,1.684057868993233,0.375,,
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,0.1,2,285.9354828542922,4750.711706837774,2.2351736880338433,0.3575626337719165,274.14250480336545,4885.968843738474,0.2787653490389123,0.0487094173061618,190.46646526303266,0.0,0.0,0.6123280554415791,0.0,25.0,0.8353869548381807,0.2,1.684057868993233,0.375,3.185828706225776,0.16666666666666666
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,1.0,0,462.4651184128741,6844.129217302454,0.8349738204170938,0.12182151903744116,272.3484021374529,4857.8343405464,0.27719107454779585,0.048472669647365,190.2839959802684,0.0,0.0,0.933015439264208,0.0,5.0,0.8349738204170938,0.2,,,,
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,1.0,1,361.2060663374456,6009.5170260264795,1.3649513638574886,0.23417652823729407,272.3484021374529,4857.8343405464,0.27719107454779585,0.048472669647365,190.2839959802684,0.0,0.0,0.7587211953695976,0.0,13.0,0.8349738204170938,0.2,1.696187328507735,0.375,,
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,1.0,2,285.1900019876307,4728.853279357578,2.2892597773595997,0.37802079053777626,272.3484021374529,4857.8343405464,0.27719107454779585,0.048472669647365,190.2839959802684,0.0,0.0,0.6009799016289438,0.0,25.0,0.8349738204170938,0.2,1.696187328507735,0.375,3.290593891986887,0.16666666666666666
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,10.0,0,458.03116008813333,6665.918464787889,0.8362660116081084,0.12062980777244885,267.8355541229271,4624.740570083586,0.27505650394071673,0.04656299371739722,188.47933389381706,0.0,0.0,0.9338081644371015,0.0,5.0,0.8362660116081084,0.2,,,,
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,10.0,1,353.7209545736138,5810.740656117218,1.4194766959365148,0.24238324400200462,267.8355541229271,4624.740570083586,0.27505650394071673,0.04656299371739722,188.47933389381706,0.0,0.0,0.7461104513541789,0.0,13.0,0.8362660116081084,0.2,1.783983373641769,0.375,,
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,10.0,2,279.14843221210714,4543.359084703363,1.9840242373354036,0.345429964867337,267.8355541229271,4624.740570083586,0.27505650394071673,0.04656299371739722,188.47933389381706,0.0,0.0,0.606082687528536,0.0,25.0,0.8362660116081084,0.2,1.783983373641769,0.375,2.5956174071842,0.16666666666666666
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_1,0.1,0,338.90383513697503,7510.246468925802,0.5675017343825386,0.13921143166619382,244.5668040158809,3971.646641487021,0.24869091545552025,0.04206896059509746,190.46646526303266,0.0,1.0,0.9465345837090581,0.0,5.0,0.5675017343825386,0.8,,,,
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_1,0.1,1,330.6424955726431,6588.23090988111,1.5606583738186814,0.26577454949361357,244.5668040158809,3971.646641487021,0.24869091545552025,0.04206896059509746,190.46646526303266,0.0,1.0,0.7187481396737729,0.0,13.0,0.5675017343825386,0.8,2.181381273466271,0.375,,
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_1,0.1,2,280.2333201224476,5145.566846273348,2.345108698871719,0.3160819498058477,244.5668040158809,3971.646641487021,0.24869091545552025,0.04206896059509746,190.46646526303266,0.0,1.0,0.6010717013517567,0.0,25.0,0.5675017343825386,0.8,2.181381273466271,0.375,3.194929884345843,0.25
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_1,1.0,0,336.3889790207375,7479.602583801672,0.5651380852079034,0.13879368376960274,239.1519447852121,3944.67108770526,0.24340434544481537,0.04182095773882722,190.2839959802684,0.0,1.0,0.946563337962085,0.0,5.0,0.5651380852079034,0.8,,,,
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_1,1.0,1,329.1973789150959,6568.0688535989075,1.608484514904809,0.287417335810461,239.1519447852121,3944.67108770526,0.24340434544481537,0.04182095773882722,190.2839959802684,0.0,1.0,0.7428032975623988,0.0,13.0,0.5651380852079034,0.8,2.2605760334653753,0.375,,
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_1,1.0,2,279.27441957139337,5131.604273150914,2.431961338186384,0.34953038115615587,239.1519447852121,3944.67108770526,0.24340434544481537,0.04182095773882722,190.2839959802684,0.0,1.0,0.6394588640297103,0.0,25.0,0.5651380852079034,0.8,2.2605760334653753,0.375,3.3240612300747574,0.25
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_1,10.0,0,315.0679859531098,7220.577613539972,0.5452814810027959,0.13524790570971248,194.40514002846413,3705.4986843981096,0.19964637756715783,0.039639587060281374,188.47933389381706,0.0,1.0,0.9465749437880433,0.0,5.0,0.5452814810027959,0.8,,,,
