method,budget_25,budget_50,method_label
gain_herding,0.7325738488637885,0.7654524422376955,Gain sketch
gain_path_herding,0.7323291025965845,0.7627498566022012,Gain-path sketch
gain_path_refined,0.7367387796443761,0.7650270423227912,Gain-path refined
gain_path_safeguarded,0.735418904293032,0.7654123972886911,Gain-path safeguarded
herding,0.7208448344392203,0.7469221037870317,Herding
random,0.7044460614663324,0.7476213809805323,Random
