dataset,seed,budget,method,method_label,coverage_value,coverage_ratio,coverage_proxy_upper_bound,coverage_to_proxy_upper_bound,matched_rows,seed_n
spambase,seed_1,budget_25,herding,Herding,5250275369.923958,0.014368296107636442,85587907434.09454,0.06134365855324644,50,1
spambase,seed_1,budget_25,random,Random,5394504587.891033,0.014763004568643085,85587907434.09454,0.0630288173834017,50,1
spambase,seed_1,budget_50,histdistill_greedy,HistDistill-Greedy,150786806871.3907,0.4126544490721655,150786806871.39066,1.0000000000000002,100,1
spambase,seed_1,budget_50,histdistill_importance,ImportanceSample,15305280325.933271,0.04188557442018069,150786806871.39066,0.1015027815993708,100,1
spambase,seed_1,budget_50,histdistill_refined,HistDistill-Refined,14311901941.350315,0.0391670208642326,150786806871.39066,0.09491481541589541,100,1
spambase,seed_1,budget_50,histdistill_density,HistDistill-Density,14311901941.350315,0.0391670208642326,150786806871.39066,0.09491481541589541,100,1
spambase,seed_1,budget_50,herding,Herding,8669103772.55938,0.023724517518738334,150786806871.39066,0.057492455423858446,100,1
spambase,seed_1,budget_50,random,Random,11004696808.196285,0.030116276037768275,150786806871.39066,0.07298182802944046,100,1
spambase,seed_2,budget_25,histdistill_greedy,HistDistill-Greedy,87018189753.35031,0.22926873611509435,87018189753.35028,1.0000000000000004,50,2
spambase,seed_2,budget_25,histdistill_importance,ImportanceSample,8814878160.871159,0.023224753131268944,87018189753.35028,0.10129925922219932,50,2
spambase,seed_2,budget_25,histdistill_refined,HistDistill-Refined,5298569138.7620125,0.013960256506205236,87018189753.35028,0.0608903627365796,50,2
spambase,seed_2,budget_25,histdistill_density,HistDistill-Density,5298569138.7620125,0.013960256506205236,87018189753.35028,0.0608903627365796,50,2
spambase,seed_2,budget_25,herding,Herding,5120384976.630235,0.013490790779976348,87018189753.35028,0.058842697040052995,50,2
spambase,seed_2,budget_25,random,Random,11148114398.65823,0.02937218190232981,87018189753.35028,0.12811246051264835,50,2
spambase,seed_2,budget_50,histdistill_greedy,HistDistill-Greedy,152859009418.0784,0.4027409900438526,152859009418.07834,1.0000000000000004,100,2
spambase,seed_2,budget_50,histdistill_importance,ImportanceSample,16273394509.217354,0.04287586999920245,152859009418.07834,0.10646015940551248,100,2
spambase,seed_2,budget_50,histdistill_refined,HistDistill-Refined,14142850212.4871,0.03726247813787887,152859009418.07834,0.09252218934512114,100,2
spambase,seed_2,budget_50,histdistill_density,HistDistill-Density,14142850212.4871,0.03726247813787887,152859009418.07834,0.09252218934512114,100,2
spambase,seed_2,budget_50,herding,Herding,8499166360.227795,0.022392940314715403,152859009418.07834,0.055601343961232126,100,2
spambase,seed_2,budget_50,random,Random,22789120648.3271,0.06004299679211829,152859009418.07834,0.14908588466642173,100,2
tic_tac_toe,seed_0,budget_25,histdistill_greedy,HistDistill-Greedy,801.8448765501162,0.09727679129355445,801.8448765501164,0.9999999999999997,50,0
tic_tac_toe,seed_0,budget_25,histdistill_importance,ImportanceSample,763.9667079924418,0.09268155497650021,801.8448765501164,0.9527612264349149,50,0
tic_tac_toe,seed_0,budget_25,histdistill_refined,HistDistill-Refined,767.4238463964872,0.09310096194764675,801.8448765501164,0.9570727067538009,50,0
tic_tac_toe,seed_0,budget_25,histdistill_density,HistDistill-Density,767.4238463964872,0.09310096194764675,801.8448765501164,0.9570727067538009,50,0
tic_tac_toe,seed_0,budget_25,herding,Herding,764.7462808513261,0.09277612981074755,801.8448765501164,0.9537334504668727,50,0
tic_tac_toe,seed_0,budget_25,random,Random,766.7954433538339,0.09302472646443032,801.8448765501164,0.956289010229659,50,0
tic_tac_toe,seed_0,budget_50,histdistill_greedy,HistDistill-Greedy,1587.6629336890642,0.19260926940066397,1587.6629336890637,1.0000000000000002,100,0
tic_tac_toe,seed_0,budget_50,histdistill_importance,ImportanceSample,1522.5609318518466,0.18471134047361445,1587.6629336890637,0.9589950735412414,100,0
