dataset,method,method_label,budget,seed,split_regret,split_regret_norm,split_regret_mean,split_regret_norm_mean,split_regret_root,split_regret_root_norm,split_regret_agreement,split_regret_weighted_agreement,split_regret_states,split_regret_depth_0_norm,split_regret_depth_0_agreement,split_regret_depth_1_norm,split_regret_depth_1_agreement,split_regret_depth_2_norm,split_regret_depth_2_agreement
adult,mvs_coreset,MVS coreset,budget_25,seed_2,130.7407523767152,0.3682422335143263,112.00155259349613,0.6128210615798566,190.2839959802684,0.19366746748306204,0.2,0.27304606045362423,25.0,0.3580724924762489,0.0,0.6720837033130752,0.25,0.6794578708842139,0.25
adult,mvs_coreset,MVS coreset,budget_50,seed_0,249.00487565905533,0.4468595957949106,134.06739081157355,0.5222480193989124,378.98724448445387,0.38572607995524355,0.08,0.026524638935930205,25.0,0.2598840897460806,0.0,0.5440875679655267,0.0,0.6170066243765163,0.16666666666666666
adult,mvs_coreset,MVS coreset,budget_50,seed_1,354.14797242149126,0.5507085475936685,161.80944893648632,0.655439167398433,709.5426776736342,0.722159174492282,0.08,0.16782993432763252,25.0,0.6550465848913622,0.0,0.5267402789855145,0.125,0.7414020023849915,0.08333333333333333
adult,mvs_coreset,MVS coreset,budget_50,seed_2,195.25002618293217,0.49067327467255606,149.23917893660942,0.6451338715061853,0.0,0.0,0.12,0.2585628235891197,25.0,0.17451161309402158,0.4,0.8129936810721596,0.0,0.7293199394672708,0.08333333333333333
adult,craig_coreset,CRAIG-style,budget_25,seed_0,573.4703379649163,0.9711345661173765,291.2760571010045,0.8853787289006035,977.5117372865983,0.9948930366949756,0.04,0.00023951682715446832,25.0,0.9950770979118401,0.0,0.9470158096133131,0.0,0.7985796880041156,0.08333333333333333
adult,craig_coreset,CRAIG-style,budget_25,seed_1,141.42881000825415,0.38369861907271935,112.72016512915611,0.6653882061157046,0.0,0.0,0.2,0.5317834364141801,25.0,0.26008395653392646,0.6,0.7419222502002845,0.125,0.7832422807183922,0.08333333333333333
adult,craig_coreset,CRAIG-style,budget_25,seed_2,503.74663875697667,0.8755275384881227,266.31812743067576,0.808242584357578,831.7135048378799,0.8465023415322669,0.0,0.0,25.0,0.9028262747297271,0.0,0.8082365365338586,0.0,0.768836745251662,0.0
adult,craig_coreset,CRAIG-style,budget_50,seed_0,188.3315753161686,0.34309494563957044,102.90576245959598,0.4494775071873839,340.1232475807601,0.3461710358337799,0.24,0.13669161654238574,25.0,0.4189050264429053,0.0,0.4831494263943137,0.25,0.43976809469296346,0.3333333333333333
adult,craig_coreset,CRAIG-style,budget_50,seed_1,423.3807971075185,0.6778668446381424,199.04844769782758,0.6777800362112335,979.8665156851365,0.9972896858013777,0.2,0.23875612014069383,25.0,0.7321058229029577,0.2,0.7580652415939203,0.125,0.6016208215012239,0.25
adult,craig_coreset,CRAIG-style,budget_50,seed_2,367.25861120937196,0.6836791483637583,207.96708672731333,0.7139243446946391,559.6758437711615,0.5696275333940664,0.08,0.05332078569655203,25.0,0.6103684238161289,0.0,0.9098066287976099,0.0,0.6264844556587045,0.16666666666666666
adult,gradmatch_coreset,GradMatch-style,budget_25,seed_0,298.5551574042165,0.5806402193597492,174.1927183491067,0.6648078797845655,373.7860109186538,0.3804323623869997,0.04,0.010681309330813262,25.0,0.4328905577093818,0.0,0.5870018934738975,0.0,0.8133107548563371,0.08333333333333333
adult,gradmatch_coreset,GradMatch-style,budget_25,seed_1,382.44259052669605,0.6075790998016635,178.43276740012868,0.6312342197091367,652.8301678574228,0.664438250070173,0.16,0.1468862753307178,25.0,0.6195976366118693,0.0,0.5051223953689497,0.375,0.7201573455597895,0.08333333333333333
adult,gradmatch_coreset,GradMatch-style,budget_25,seed_2,233.38207260999374,0.4738699190866514,144.12840743047065,0.5622610105676885,340.1232475807601,0.3461710358337799,0.08,0.0045178403755391505,25.0,0.3834649575778817,0.0,0.45286987359429953,0.125,0.709686790629034,0.08333333333333333
adult,gradmatch_coreset,GradMatch-style,budget_50,seed_0,296.0890767367422,0.5813602339105787,174.40867503187562,0.7084311050728236,373.7860109186538,0.3804323623869997,0.0,0.0,25.0,0.4171551718839924,0.0,0.6820347897760264,0.0,0.8473936207660345,0.0
adult,gradmatch_coreset,GradMatch-style,budget_50,seed_1,365.8069167520439,0.6054118113300948,177.7966325978675,0.6201343859479789,535.7991841368807,0.5453263188883246,0.0,0.0,25.0,0.5556993288411185,0.0,0.6016687290567171,0.0,0.6592927643366785,0.0
adult,gradmatch_coreset,GradMatch-style,budget_50,seed_2,363.04581350747543,0.6706265688958343,203.97230434422852,0.7083846047007542,535.7991841368807,0.5453263188883246,0.04,0.00013151326030303974,25.0,0.5780143818743247,0.0,0.654569447947588,0.0,0.7985823020472109,0.08333333333333333
adult,grand_coreset,GraNd,budget_25,seed_0,464.87031389603345,0.7109662571191427,213.28189892263046,0.646271344936653,888.8183544668892,0.9046225820268912,0.16,0.1093005433520381,25.0,0.9262203231711783,0.0,0.49225377101807793,0.25,0.6323043199513174,0.16666666666666666
adult,grand_coreset,GraNd,budget_25,seed_1,615.3938507073714,0.9792695250270778,287.5300187604997,0.882817495629201,982.4546988218594,0.9999238898545838,0.0,0.0,25.0,0.9994695686820656,0.0,0.8801663359731517,0.0,0.8359799049612068,0.0
