method,method_label,density_beta,mmd2,sld_inf_norm,xgboost_auroc,mlp_auroc,n_cells
histdistill_refined,beta=0.00,0.0,0.007697374000240831,24.497875738538575,0.7960642704130125,0.6596429390823447,156
histdistill_density_weak,beta=0.15,0.15,0.007521481795115274,25.07596490668662,0.7967410061847949,0.6677485786653627,156
histdistill_density_mid,beta=0.35,0.35,0.007460474642401766,25.082579652156525,0.7959472425524213,0.6675315435672255,156
histdistill_density_strong,beta=0.70,0.7,0.007460474642401766,25.082579652156525,0.7959472425524213,0.6675315435672255,156
histdistill_density_xstrong,beta=1.25,1.25,0.007443594588327719,25.24209273485988,0.7972147163855996,0.6655853773753483,156
