method,method_label,reg_lambda,probe_depth,sld_inf_norm,sld_root_agreement_direct,sld_rank_correlation_direct,n_cells
gain_path_refined,Legacy gain-path refined,0.1,0,1.4969464232637357,0.3974358974358974,0.7881232033680545,78
gain_path_refined,Legacy gain-path refined,0.1,1,2.968466774482563,0.3974358974358974,0.7064946946961468,78
gain_path_refined,Legacy gain-path refined,0.1,2,3.959970126638859,0.3974358974358974,0.6325935009987235,78
gain_path_refined,Legacy gain-path refined,1.0,0,1.358488117672053,0.48717948717948717,0.7934781865408292,78
gain_path_refined,Legacy gain-path refined,1.0,1,2.9353449693208313,0.48717948717948717,0.7100019762823556,78
gain_path_refined,Legacy gain-path refined,1.0,2,3.95998789534479,0.48717948717948717,0.6324021266155763,78
gain_path_refined,Legacy gain-path refined,10.0,0,1.2921551077500786,0.5,0.7778751416253586,78
gain_path_refined,Legacy gain-path refined,10.0,1,3.231188232990738,0.5,0.6910138320238699,78
gain_path_refined,Legacy gain-path refined,10.0,2,3.9713859138608947,0.5,0.6166412129348372,78
histdistill_density,HistDistill-Density,0.1,0,1.6032926116696078,0.34615384615384615,0.7534910394415856,78
histdistill_density,HistDistill-Density,0.1,1,2.8397563697740367,0.34615384615384615,0.6680461843438567,78
histdistill_density,HistDistill-Density,0.1,2,3.6681551435462607,0.34615384615384615,0.5986754876418908,78
histdistill_density,HistDistill-Density,1.0,0,1.4886077962976911,0.3974358974358974,0.7621189791274862,78
histdistill_density,HistDistill-Density,1.0,1,2.784479543479312,0.3974358974358974,0.671311607778289,78
histdistill_density,HistDistill-Density,1.0,2,3.638512118673417,0.3974358974358974,0.5991978936602184,78
histdistill_density,HistDistill-Density,10.0,0,1.431353167227904,0.46153846153846156,0.7570670114253798,78
histdistill_density,HistDistill-Density,10.0,1,2.948316740993829,0.46153846153846156,0.6585611951694147,78
histdistill_density,HistDistill-Density,10.0,2,3.5654690953189285,0.46153846153846156,0.5873988088497284,78
histdistill_refined,HistDistill-Refined,0.1,0,1.4413211043888245,0.3333333333333333,0.7549408413581398,78
histdistill_refined,HistDistill-Refined,0.1,1,2.862181144241735,0.3333333333333333,0.6700128698903934,78
histdistill_refined,HistDistill-Refined,0.1,2,3.6927581178673052,0.3333333333333333,0.6017701502528708,78
histdistill_refined,HistDistill-Refined,1.0,0,1.3192291494663757,0.46153846153846156,0.7639851913365389,78
histdistill_refined,HistDistill-Refined,1.0,1,2.7971063739518414,0.46153846153846156,0.6745693048608447,78
histdistill_refined,HistDistill-Refined,1.0,2,3.654220867285859,0.46153846153846156,0.6013135942986261,78
histdistill_refined,HistDistill-Refined,10.0,0,1.2645387465450821,0.5256410256410257,0.7572580240612142,78
histdistill_refined,HistDistill-Refined,10.0,1,2.9517893858712907,0.5256410256410257,0.6640097383044341,78
histdistill_refined,HistDistill-Refined,10.0,2,3.563123807623572,0.5256410256410257,0.5943742687672658,78
random,Random,0.1,0,3.960073427917282,0.2692307692307692,0.5976180756701696,78
random,Random,0.1,1,5.3258728932727815,0.2692307692307692,0.5531182961779437,78
random,Random,0.1,2,6.087389852626533,0.2692307692307692,0.5026338262149036,78
random,Random,1.0,0,3.9069893836302607,0.3076923076923077,0.5996737051858962,78
random,Random,1.0,1,5.3471426671971,0.3076923076923077,0.5520141954545797,78
random,Random,1.0,2,6.206117445464465,0.3076923076923077,0.4992758859795413,78
random,Random,10.0,0,3.851103217459322,0.32051282051282054,0.5929895424204774,78
random,Random,10.0,1,5.5393825371869925,0.32051282051282054,0.5352870496706773,78
random,Random,10.0,2,6.140590644002442,0.32051282051282054,0.4854972262922787,78
