method,catboost,lightgbm,mlp,random_forest,xgboost,method_label
gain_path_refined,0.7278791315644724,0.7275823889476246,0.6744583515863801,0.792031091217276,0.7931453005765191,Legacy gain-path refined
herding,0.7115173031662666,0.71217235985724,0.6782001177678368,0.7767913175898152,0.7744442188928823,Herding
histdistill_density,0.7278235268689813,0.7256209238566593,0.6741421913336557,0.7920596262044327,0.7926346639729058,HistDistill-Density
histdistill_refined,0.7280150035161702,0.726117044212149,0.6740464769567878,0.7919934805640917,0.7921243095632063,HistDistill-Refined
random,0.7149506611176382,0.7131263074375089,0.6593681810324805,0.7686723865693109,0.7658211277569825,Random
