method,auroc_mean,auroc_std,n_cells,avg_rank,method_label
gain_path_refined,0.7797126517511755,0.16117388009195008,240,3.7583333333333333,Gain-path refined
trajectory_refined,0.7772542547280498,0.1584463015962583,240,3.8208333333333333,Trajectory refined
gain_herding,0.7734076782675195,0.1610761365532778,240,4.09375,Gain sketch
split_margin_refined,0.7714515823014575,0.16640669365738944,240,4.43125,Split-margin refined
herding,0.7669221450613637,0.15864333702545344,240,5.05625,Herding
region_trajectory_refined,0.7658596478386449,0.15947304736441842,240,5.214583333333334,Region trajectory refined
region_adaptive_refined,0.7651890065288254,0.15876771474937584,240,5.233333333333333,Region adaptive refined
random,0.7474518154530766,0.16420325172905414,240,6.020833333333333,Random
threshold_witness,0.6315130554127837,0.1787194052077106,240,7.370833333333334,Threshold witness
