dataset,dataset_label,n_train,n_test,method,method_label,budget_rows,full_train_seconds,condensed_train_seconds,select_seconds,landscape_seconds,split_regret_seconds,speedup,full_auroc,auroc,auroc_gap,split_regret
covertype,Covertype,20000,100000,histdistill_refined,HD-Refined,400,0.13826560000597965,0.019937699995352887,1.2974908999894978,0.03951279999455437,0.001393300000927411,6.934882159838238,0.8901537599685312,0.7929209619084121,0.09723279806011909,0.1791478467233881
covertype,Covertype,20000,100000,histdistill_density,HD-Density,400,0.13826560000597965,0.018735999998170882,1.356596499987063,0.03951279999455437,0.0007779000006848946,7.379675492072905,0.8901537599685312,0.7929209619084121,0.09723279806011909,0.1791478467233881
covertype,Covertype,20000,100000,herding,Herding,400,0.13826560000597965,0.015475599997444078,0.18523160000040662,0.03951279999455437,0.0007856000011088327,8.934425807646575,0.8901537599685312,0.7427304969648533,0.14742326300367792,0.026849024324028616
covertype,Covertype,20000,100000,gradient_sampling,Gradient sampling,400,0.13826560000597965,0.014191900001605973,0.0011328999971738085,0.03951279999455437,0.0009261999948648736,9.742571466141486,0.8901537599685312,0.2161513163055806,0.6740024436629506,0.026849024324028616
covertype,Covertype,20000,100000,random,Random,400,0.13826560000597965,0.020347099998616613,0.0006059000006644055,0.03951279999455437,0.000883800006704405,6.795346757787608,0.8901537599685312,0.7977939313795558,0.0923598285889754,0.0
covertype,Covertype,100000,100000,histdistill_refined,HD-Refined,400,0.38477449999481905,0.01572949999535922,6.98836790000496,0.1311159999895608,0.0007673000072827563,24.461966375812434,0.892769566394115,0.7918044370009331,0.10096512939318192,0.0
covertype,Covertype,100000,100000,histdistill_density,HD-Density,400,0.38477449999481905,0.01513820000400301,7.391604599994025,0.1311159999895608,0.00077120000787545,25.4174538513874,0.892769566394115,0.7879158239483611,0.10485374244575385,0.025121012590078772
covertype,Covertype,100000,100000,herding,Herding,400,0.38477449999481905,0.017412699991837144,1.6434031999961007,0.1311159999895608,0.0007962999952724203,22.09734849708526,0.892769566394115,0.699680145476674,0.19308942091744097,0.025121012590078772
covertype,Covertype,100000,100000,gradient_sampling,Gradient sampling,400,0.38477449999481905,0.010612600002787076,0.005435700004454702,0.1311159999895608,0.0007419000030495226,36.25638391098975,0.892769566394115,0.22139719633163182,0.6713723700624832,0.9265536427548481
covertype,Covertype,100000,100000,random,Random,400,0.38477449999481905,0.01696579999406822,0.0018890999926952645,0.1311159999895608,0.0007937999907881021,22.679419781522142,0.892769566394115,0.8103205101265482,0.08244905626756682,0.06303323154281942
covertype,Covertype,481012,100000,histdistill_refined,HD-Refined,400,1.4490523999993457,0.01072530000237748,7.11565399999381,0.3996840999898268,0.0008390000002691522,135.10600166691225,0.8972407845721433,0.747015946687851,0.1502248378842923,0.0
covertype,Covertype,481012,100000,histdistill_density,HD-Density,400,1.4490523999993457,0.014527899998938665,8.248829400006798,0.3996840999898268,0.0007742000016150996,99.74272951391502,0.8972407845721433,0.7810585354416381,0.11618224913050523,0.0
covertype,Covertype,481012,100000,herding,Herding,400,1.4490523999993457,0.015856099998927675,1.7870858999958728,0.3996840999898268,0.0008331999997608364,91.38769307063798,0.8972407845721433,0.7186434756832842,0.17859730888885905,0.39894697915282346
covertype,Covertype,481012,100000,gradient_sampling,Gradient sampling,400,1.4490523999993457,0.009042100005899556,0.03156970000418369,0.3996840999898268,0.0007856000011088327,160.25617932271322,0.8972407845721433,0.3767011270611877,0.5205396575109555,0.9438481294028541
covertype,Covertype,481012,100000,random,Random,400,1.4490523999993457,0.014578700007405132,0.010163099999772385,0.3996840999898268,0.0007489999989047647,99.39517235853069,0.8972407845721433,0.7921134564602614,0.10512732811188186,0.6766209694559085
susy,SUSY,20000,500000,histdistill_refined,HD-Refined,400,0.11487669999769423,0.01825490000192076,1.1757196999969892,0.03386879999015946,0.0006618000043090433,6.292924090825315,0.8689940763430164,0.8324128571880602,0.03658121915495616,0.0
susy,SUSY,20000,500000,histdistill_density,HD-Density,400,0.11487669999769423,0.01611100000445731,1.3068502999958582,0.03386879999015946,0.0007148000004235655,7.130327103588366,0.8689940763430164,0.8139243821917673,0.05506969415124907,0.0
susy,SUSY,20000,500000,herding,Herding,400,0.11487669999769423,0.010596599997370504,0.1274081000010483,0.03386879999015946,0.0006865999894216657,10.84090180116267,0.8689940763430164,0.8065706566489748,0.06242341969404164,0.19019426162906983
susy,SUSY,20000,500000,gradient_sampling,Gradient sampling,400,0.11487669999769423,0.010178999989875592,0.0011181000008946285,0.03386879999015946,0.0007462999928975478,11.28565675527604,0.8689940763430164,0.1841732059829453,0.6848208703600711,0.2573530596008712
susy,SUSY,20000,500000,random,Random,400,0.11487669999769423,0.015061400001286529,0.0004985999985365197,0.03386879999015946,0.0007182999979704618,7.627225887891005,0.8689940763430164,0.824190854470636,0.044803221872380394,0.024478095486669436
susy,SUSY,100000,500000,histdistill_refined,HD-Refined,400,0.43437440000707284,0.01722229999722913,6.14958349999506,0.1396833000035258,0.000853999998071231,25.22162545519232,0.8723504820536816,0.8327199014312088,0.03963058062247282,0.0
susy,SUSY,100000,500000,histdistill_density,HD-Density,400,0.43437440000707284,0.015228799995384179,7.537049499995192,0.1396833000035258,0.0007694999949308112,28.523219172799624,0.8723504820536816,0.809940968263742,0.06240951378993964,0.0
susy,SUSY,100000,500000,herding,Herding,400,0.43437440000707284,0.011404599994421005,1.5736783999891486,0.1396833000035258,0.0007146000134525821,38.087648862701336,0.8723504820536816,0.7896159616302959,0.0827345204233857,0.2126402885482245
susy,SUSY,100000,500000,gradient_sampling,Gradient sampling,400,0.43437440000707284,0.008851799997501075,0.0042468000028748065,0.1396833000035258,0.0007537999917985871,49.071872402189356,0.8723504820536816,0.17620030263985775,0.6961501794138238,0.05194536276635406
susy,SUSY,100000,500000,random,Random,400,0.43437440000707284,0.018706000002566725,0.0018425000016577542,0.1396833000035258,0.0009057999996002764,23.221126908343344,0.8723504820536816,0.8380478544115177,0.03430262764216385,0.20861210038721695
susy,SUSY,500000,500000,histdistill_refined,HD-Refined,400,1.8533097000035923,0.01926659999298863,6.997687299997779,0.4864090000046417,0.0007711000071140006,96.1928778652194,0.8733325313160563,0.8195285095177481,0.05380402179830812,0.0
susy,SUSY,500000,500000,histdistill_density,HD-Density,400,1.8533097000035923,0.01635540000279434,8.26450279999699,0.4864090000046417,0.0007949999999254942,113.31485012209741,0.8733325313160563,0.7976844156421552,0.07564811567390106,0.0
susy,SUSY,500000,500000,herding,Herding,400,1.8533097000035923,0.013953200003015809,1.5434813000028953,0.4864090000046417,0.0007761999877402559,132.82327348586867,0.8733325313160563,0.7824129471080778,0.09091958420797841,0.15051749363321407
susy,SUSY,500000,500000,gradient_sampling,Gradient sampling,400,1.8533097000035923,0.009103199990931898,0.027571600003284402,0.4864090000046417,0.0008119999984046444,203.58881512542362,0.8733325313160563,0.20666059591526664,0.6666719354007896,0.14763871134947082
susy,SUSY,500000,500000,random,Random,400,1.8533097000035923,0.020941000009770505,0.009766100003616884,0.4864090000046417,0.0008515999943483621,88.50148985907492,0.8733325313160563,0.8408717829500734,0.032460748365982894,0.2040933930382228
susy,SUSY,1000000,500000,histdistill_refined,HD-Refined,400,3.4946184000000358,0.015199600005871616,7.875393100010115,0.7712176000059117,0.0007880999910412356,229.91515557317706,0.8733864362075688,0.8170640275968266,0.056322408610742225,0.0
susy,SUSY,1000000,500000,histdistill_density,HD-Density,400,3.4946184000000358,0.016953699989244342,9.135361499997089,0.7712176000059117,0.0007902000070316717,206.12718180792803,0.8733864362075688,0.7980627850112422,0.07532365119632667,0.0
susy,SUSY,1000000,500000,herding,Herding,400,3.4946184000000358,0.010405499997432344,1.5922071999957552,0.7712176000059117,0.0007928999984869733,335.84339059750766,0.8733864362075688,0.7800422162232328,0.09334421998433606,0.21283827389943255
susy,SUSY,1000000,500000,gradient_sampling,Gradient sampling,400,3.4946184000000358,0.00860580000153277,0.06402809999417514,0.7712176000059117,0.000788799996371381,406.0771107134273,0.8733864362075688,0.1930162548304842,0.6803701813770846,0.14516354535407314
susy,SUSY,1000000,500000,random,Random,400,3.4946184000000358,0.016669199991156347,0.01823359999980312,0.7712176000059117,0.0007550000009359792,209.6452380350626,0.8733864362075688,0.8250292265279862,0.04835720967958268,0.0049023997047908385
susy,SUSY,4500000,500000,histdistill_refined,HD-Refined,400,16.01545080001233,0.016995800004224293,13.207234900008189,2.8155924000020605,0.0007227999885799363,942.3181489563129,0.8734480677656881,0.8178849291433464,0.055563138622341635,0.0
susy,SUSY,4500000,500000,histdistill_density,HD-Density,400,16.01545080001233,0.017621899998630397,14.635704400003306,2.8155924000020605,0.0007908999978099018,908.8379119877584,0.8734480677656881,0.7937953966135839,0.07965267115210417,0.004946460289758149
susy,SUSY,4500000,500000,herding,Herding,400,16.01545080001233,0.011889999994309619,1.7243519000039669,2.8155924000020605,0.0008343999943463132,1346.9681082991667,0.8734480677656881,0.779615534741418,0.09383253302427008,0.14669574291509296
susy,SUSY,4500000,500000,gradient_sampling,Gradient sampling,400,16.01545080001233,0.00859120000677649,0.41749600000912324,2.8155924000020605,0.0007800999883329496,1864.1692414773033,0.8734480677656881,0.21936160307392333,0.6540864646917648,0.3442132019994264
