method,auroc_mean,auroc_std,accuracy_mean,log_loss_mean,train_seconds_mean,n_cells,avg_rank,method_label
gain_path_refined,0.7508829109835836,0.17770804869950574,0.7072795091837746,0.8417036517909572,0.33826691128210185,780,3.433333333333333,Legacy gain-path refined
histdistill_density,0.7507792935797425,0.1754887139949206,0.7060560732676402,0.8716898619875236,0.5216265899993745,780,3.5903846153846155,HistDistill-Density
histdistill_refined,0.7497965860601192,0.1771897278238052,0.7102481150915383,0.8144497885947788,0.533023584743802,780,3.5923076923076924,HistDistill-Refined
herding,0.733883469113126,0.16812670648235462,0.6835466430905522,0.9878769558600486,0.4879033492304771,780,4.701923076923077,Herding
random,0.7260337212234325,0.17327236456237907,0.6797613581832391,0.9528225564812338,0.3906781850000045,780,5.191666666666666,Random
histdistill_importance,0.6903665261401604,0.1790038830266673,0.6945192421905526,0.8152110340799208,0.5111366728205049,780,6.291666666666667,ImportanceSample
histdistill_greedy,0.6285237432807209,0.1572595753664304,0.5814015043113058,1.3633795891840903,0.5010579901280998,780,7.433333333333334,Pure greedy selector
histdistill_no_refine,0.6279145930456773,0.15772423355026047,0.5806267207886395,1.3774680539916917,0.20999806846084534,780,7.4423076923076925,No refinement
histdistill_no_weight_fit,0.6162978816327056,0.13528260693094674,0.5528563311304353,1.6593458150274834,0.2041603749997403,780,7.769230769230769,No weight fit
histdistill_root_only,0.5964143856319122,0.13609593641746948,0.5893076136349686,1.6241581296162488,0.1978755455128684,780,8.286538461538461,Root-only probes
histdistill_linear_coverage,0.5957344759466019,0.13546960151062898,0.5815695741193055,1.561010184280481,0.20091322871833253,780,8.267307692307693,Linear coverage
