method,method_label,n_cells,pooled_spearman_sld_vs_auroc,within_dataset_spearman_sld_vs_auroc,mean_sld_inf_norm,mean_auroc,prop1_cells,prop1_root_agreement,all_root_agreement
gain_path_refined,Legacy gain-path refined,390,0.2294942630733054,-0.5776806720926897,27.418353882798318,0.7429714378423741,12,1.0,0.16153846153846155
herding,Herding,390,0.09596645742726462,-0.5249584747917088,54.19672237642438,0.730750016550493,9,1.0,0.1
histdistill_density,HistDistill-Density,390,0.17738638852124147,-0.5769230769230768,25.35613117337071,0.742323233810914,12,1.0,0.16923076923076924
histdistill_refined,HistDistill-Refined,390,0.20934998308288075,-0.5589743589743588,24.92557008174314,0.7423032709246645,12,1.0,0.17692307692307693
random,Random,390,-0.10065327393814233,-0.6399767288007642,39.92709822205769,0.7248478486756346,8,1.0,0.12307692307692308
