dataset,seed,state,depth,margin,best_gain,num_candidates
adult,seed_0,root,0,190.2839959802684,982.5294792834034,102
adult,seed_0,probe_d0,0,190.2839959802684,982.5294792834034,94
adult,seed_0,probe_d1,1,199.86838571230544,629.3510569596928,96
adult,seed_0,probe_d2,2,191.89768290323866,539.9371539776259,98
adult,seed_0,probe_d1,1,140.03830703864176,265.9300659786039,100
adult,seed_0,probe_d2,2,121.00505932759796,214.05273233313898,99
adult,seed_0,probe_d0,0,133.77942422506635,821.3037105061496,95
adult,seed_0,probe_d1,1,109.46681232778013,510.2260419031858,101
adult,seed_0,probe_d2,2,153.97370309448007,449.34550614248747,100
adult,seed_0,probe_d1,1,115.20449983473259,233.64088538374105,102
adult,seed_0,probe_d2,2,102.00898523815022,190.74241126105997,102
adult,seed_0,probe_d2,2,0.0,1.7959796576343905,102
adult,seed_0,probe_d0,0,18.957365197780177,426.51429630503577,98
adult,seed_0,probe_d1,1,2.5123708769462496,232.27213445520084,95
adult,seed_0,probe_d2,2,57.816391721562695,200.26355915368546,100
adult,seed_0,probe_d2,2,1.3517343399651907,25.082439301784746,98
adult,seed_0,probe_d1,1,54.89489299649273,148.84790669116683,102
adult,seed_0,probe_d2,2,48.94109893737348,118.79874169189827,92
adult,seed_0,probe_d2,2,0.0,1.7408353416023772,98
adult,seed_0,probe_d0,0,0.7618331122497466,225.29132952923328,102
adult,seed_0,probe_d1,1,0.6294958162574744,149.82330070060686,100
adult,seed_0,probe_d2,2,7.584819437135437,80.09213591773793,98
adult,seed_0,probe_d2,2,0.03205365871343702,3.038916260029879,97
adult,seed_0,probe_d1,1,6.168764445729835,40.38015654467347,101
adult,seed_0,probe_d2,2,0.2747560397920097,24.81413723284544,99
adult,seed_1,root,0,190.2839959802684,982.5294792834034,96
adult,seed_1,probe_d0,0,190.2839959802684,982.5294792834034,100
adult,seed_1,probe_d1,1,199.86838571230544,629.3510569596928,98
adult,seed_1,probe_d2,2,171.80268882214148,490.5876565656847,102
adult,seed_1,probe_d2,2,26.26827656573323,119.33734349205469,92
adult,seed_1,probe_d1,1,140.03830703864176,265.9300659786039,96
adult,seed_1,probe_d2,2,121.00505932759796,214.05273233313898,102
adult,seed_1,probe_d0,0,132.27755229840682,817.1818901453563,94
adult,seed_1,probe_d1,1,132.65579097514296,688.1681446242254,99
adult,seed_1,probe_d2,2,111.93880722620736,543.3529875136409,99
adult,seed_1,probe_d2,2,1.2745292230865743,77.24406648871084,100
adult,seed_1,probe_d1,1,0.9760553587590266,3.258575383669836,99
adult,seed_1,probe_d2,2,2.7830609942233195,16.323331296773063,97
adult,seed_1,probe_d2,2,0.0,2.2025646972340382,98
adult,seed_1,probe_d0,0,44.59927245990053,475.5849414663172,104
adult,seed_1,probe_d1,1,4.1023795344615905,228.23993831579475,100
adult,seed_1,probe_d2,2,37.57182942199893,148.59741646103765,98
adult,seed_1,probe_d2,2,6.012442545252412,11.93890259474125,101
