dataset,gain_path_refined,herding,histdistill_density,histdistill_refined,random
adult,0.7317017014652326,0.7162115888992453,0.732501765664913,0.7317017593653774,0.6820255775047284
australian,0.8449010006387055,0.838336526861117,0.8417606983180753,0.8384607196082605,0.8139237811368959
diabetes,0.7863271604938271,0.7551543209876543,0.778425925925926,0.7765123456790124,0.7326080246913581
spambase,0.8838145218888132,0.8987710273145267,0.8244505168991972,0.8799262583475683,0.7996892186774884
