method,root_agreement,gain_rank_correlation,root_sld_inf_norm,sld_inf_norm,sld_root_agreement_direct,sld_rank_correlation_direct,sld_margin_satisfied_rate,n_cells,method_label
gain_path_refined,0.0,0.4285358597245783,0.8387420384794869,1.8198350830888266,0.25,0.47615031656734885,0.0,8,Legacy gain-path refined
herding,0.0,0.35936206604327153,0.8543352561036296,2.4374368243564404,0.25,0.37904010514026387,0.0,8,Herding
histdistill_density,0.0,0.44742877153246147,0.836305624958612,1.6016536474054137,0.75,0.45749835316660104,0.0,8,HistDistill-Density
histdistill_refined,0.0,0.45138854393206934,0.8356577845991635,1.5301628409394912,0.75,0.45106323575456464,0.0,8,HistDistill-Refined
random,0.375,0.31621743322314355,0.813426171552029,2.0107452801825225,0.25,0.40004006406339865,0.0,8,Random
