dataset,method,method_label,budget,seed,learner,full_auc,deployed_auc,leaf_refit_auc,total_gap,structure_error,leaf_estimate_recovery,leaf_population_l1,leaf_population_kl,train_rows,status,sld_inf_norm,sld_root_agreement_direct,full_deployed_auc,structure_ref_auc
adult,histdistill_greedy,HistDistill-Greedy,budget_25,seed_0,xgboost,0.9154183105965256,0.6775411244462864,0.7710266981041292,0.21959069924499364,0.12610512558715092,0.0934855736578427,0.1245610349870708,0.0980786313987288,50,ok,4.2553149835823625,0.0,0.9154183105965256,0.8971318236912801
adult,histdistill_greedy,HistDistill-Greedy,budget_25,seed_0,lightgbm,0.920137751392296,0.6110725689147787,0.7468614937056173,0.30906518247751735,0.17327625768667876,0.1357889247908386,0.2051974390407823,0.1431186498270952,50,ok,4.2553149835823625,0.0,0.920137751392296,0.920137751392296
adult,histdistill_greedy,HistDistill-Greedy,budget_25,seed_1,xgboost,0.9154183105965256,0.5845580661444305,0.7348697368334203,0.3125737575468496,0.1622620868578598,0.1503116706889897,0.2241885915157553,0.2601095582493977,50,ok,8.86158709407749,0.0,0.9154183105965256,0.8971318236912801
adult,histdistill_greedy,HistDistill-Greedy,budget_25,seed_1,lightgbm,0.920137751392296,0.5592738835491444,0.7706398672372842,0.3601232091919492,0.14875722550380943,0.2113659836881397,0.2247783003542053,0.1651271569924609,50,ok,8.86158709407749,0.0,0.9193970927410936,0.9193970927410936
adult,histdistill_greedy,HistDistill-Greedy,budget_25,seed_2,xgboost,0.9154183105965256,0.4407690204580897,0.7142766818631386,0.4563628032331904,0.18285514182814144,0.2735076614050489,0.1566945669837025,0.1495629376363731,50,ok,6.569037509223335,0.0,0.9154183105965256,0.8971318236912801
adult,histdistill_greedy,HistDistill-Greedy,budget_25,seed_2,lightgbm,0.920137751392296,0.4429256850484572,0.8144893259346212,0.4764915569429974,0.10492791605683338,0.371563640886164,0.1748217993378513,0.1397745309718604,50,ok,6.569037509223335,0.0,0.9194172419914546,0.9194172419914546
adult,histdistill_greedy,HistDistill-Greedy,budget_50,seed_0,xgboost,0.9154183105965256,0.7805930758143337,0.7487233886592377,0.1165387478769464,0.14840843503204237,-0.0318696871550959,0.2252586921096219,0.1982873619396933,100,ok,5.908239101893047,0.0,0.9154183105965256,0.8971318236912801
adult,histdistill_greedy,HistDistill-Greedy,budget_50,seed_0,lightgbm,0.920137751392296,0.8100861936294323,0.8451365094341917,0.11005155776286368,0.07500124195810431,0.0350503158047593,0.5298528274407832,0.711831426897412,100,ok,5.908239101893047,0.0,0.920137751392296,0.920137751392296
adult,histdistill_greedy,HistDistill-Greedy,budget_50,seed_1,xgboost,0.9154183105965256,0.673541845650489,0.6739648062076367,0.22358997804079106,0.22316701748364343,0.0004229605571476,0.1915714504117919,0.1580677515646214,100,ok,9.69439217822975,0.0,0.9154183105965256,0.8971318236912801
adult,histdistill_greedy,HistDistill-Greedy,budget_50,seed_1,lightgbm,0.920137751392296,0.6953018201373692,0.7280655434270193,0.22409527260372442,0.19133154931407426,0.0327637232896501,0.4428838476120629,0.5077611825489001,100,ok,9.69439217822975,0.0,0.9193970927410936,0.9193970927410936
adult,histdistill_greedy,HistDistill-Greedy,budget_50,seed_2,xgboost,0.9154183105965256,0.7108954292120357,0.705655060814259,0.18623639447924434,0.1914767628770211,-0.0052403683977767,0.2086701622034137,0.2001736220813294,100,ok,4.681263432452749,0.0,0.9154183105965256,0.8971318236912801
adult,histdistill_greedy,HistDistill-Greedy,budget_50,seed_2,lightgbm,0.920137751392296,0.771057095680105,0.8251161447952923,0.14836014631134953,0.09430109719616231,0.0540590491151872,0.476531552462637,0.5692869496073738,100,ok,4.681263432452749,0.0,0.9194172419914546,0.9194172419914546
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_0,xgboost,0.9154183105965256,0.8356879006183388,0.8376823290032132,0.06144392307294133,0.05944949468806693,0.0019944283848744,0.1044922937108824,0.0324664920607919,50,ok,2.419007098754076,0.0,0.9154183105965256,0.8971318236912801
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_0,lightgbm,0.920137751392296,0.8298156100411357,0.8318145546372979,0.09032214135116035,0.08832319675499811,0.0019989445961622,0.0572143672966346,0.0081260749999844,50,ok,2.419007098754076,0.0,0.920137751392296,0.920137751392296
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_1,xgboost,0.9154183105965256,0.8235385974523705,0.8339571494924993,0.07359322623890963,0.06317467419878076,0.0104185520401288,0.0863514313213355,0.0226846031740176,50,ok,3.536486362804212,1.0,0.9154183105965256,0.8971318236912801
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_1,lightgbm,0.920137751392296,0.8138756423007804,0.8198092491312373,0.10552145044031325,0.09958784360985629,0.0059336068304569,0.0719090025953016,0.0120287434897066,50,ok,3.536486362804212,1.0,0.9193970927410936,0.9193970927410936
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_2,xgboost,0.9154183105965256,0.8397524907773755,0.8398886719177466,0.057379332913904624,0.05724315177353345,0.0001361811403711,0.1006654738693201,0.0737296090943421,50,ok,3.072977201387796,0.0,0.9154183105965256,0.8971318236912801
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_2,lightgbm,0.920137751392296,0.8166887208317888,0.8238771395985228,0.1027285211596658,0.09554010239293176,0.007188418766734,0.0598700770550304,0.009353981717101,50,ok,3.072977201387796,0.0,0.9194172419914546,0.9194172419914546
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,xgboost,0.9154183105965256,0.879477085265027,0.8706520610077612,0.01765473842625309,0.026479762683518926,-0.0088250242572658,0.0742200175412649,0.0242843327159909,100,ok,2.2892597773596,0.0,0.9154183105965256,0.8971318236912801
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,lightgbm,0.920137751392296,0.8304761927921962,0.8510635156481511,0.08966155860009983,0.06907423574414495,0.0205873228559548,0.083879035074578,0.0191771783730566,100,ok,2.2892597773596,0.0,0.920137751392296,0.920137751392296
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_1,xgboost,0.9154183105965256,0.8657288696027365,0.8462732050752487,0.031402954088543544,0.05085861861603136,-0.0194556645274878,0.0699914662609034,0.0243752565152472,100,ok,2.431961338186384,1.0,0.9154183105965256,0.8971318236912801
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_1,lightgbm,0.920137751392296,0.8269591064015904,0.8502693572632315,0.09243798633950318,0.0691277354778621,0.023310250861641,0.0765005986071575,0.0164391095066153,100,ok,2.431961338186384,1.0,0.9193970927410936,0.9193970927410936
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_2,xgboost,0.9154183105965256,0.8748898304996424,0.8584782660805782,0.022241993191637666,0.03865355761070188,-0.0164115644190642,0.0858975586377091,0.0404144535642236,100,ok,1.8902508471656867,0.0,0.9154183105965256,0.8971318236912801
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_2,lightgbm,0.920137751392296,0.8450830097004745,0.8527577896828197,0.07433423229098013,0.0666594523086349,0.0076747799823452,0.0780061802257715,0.0177353227357674,100,ok,1.8902508471656867,0.0,0.9194172419914546,0.9194172419914546
adult,histdistill_density,HistDistill-Density,budget_25,seed_0,xgboost,0.9154183105965256,0.8387505866732163,0.8312331792842083,0.05838123701806375,0.06589864440707183,-0.007517407389008,0.0964206396296445,0.0308496543167799,50,ok,2.209900013949483,1.0,0.9154183105965256,0.8971318236912801
adult,histdistill_density,HistDistill-Density,budget_25,seed_0,lightgbm,0.920137751392296,0.8319144323869323,0.8330542546358041,0.08822331900536373,0.08708349675649196,0.0011398222488717,0.0566292972275068,0.0086700135158924,50,ok,2.209900013949483,1.0,0.920137751392296,0.920137751392296
adult,histdistill_density,HistDistill-Density,budget_25,seed_1,xgboost,0.9154183105965256,0.8246448955174518,0.8375883570683397,0.07248692817382829,0.05954346662294041,0.0129434615508878,0.0822743527278971,0.0315842612461787,50,ok,3.4332022660071497,1.0,0.9154183105965256,0.8971318236912801
adult,histdistill_density,HistDistill-Density,budget_25,seed_1,lightgbm,0.920137751392296,0.8132336454961735,0.8196136624423881,0.1061634472449201,0.09978343029870551,0.0063800169462145,0.068699945128039,0.0113859127513233,50,ok,3.4332022660071497,1.0,0.9193970927410936,0.9193970927410936
adult,histdistill_density,HistDistill-Density,budget_25,seed_2,xgboost,0.9154183105965256,0.8370655187615577,0.8350174169425318,0.060066304929722425,0.06211440674874824,-0.0020481018190258,0.0987595644700915,0.0928690115773289,50,ok,3.0795218198195538,0.0,0.9154183105965256,0.8971318236912801
adult,histdistill_density,HistDistill-Density,budget_25,seed_2,lightgbm,0.920137751392296,0.8209737368417576,0.8248663635709891,0.09844350514969702,0.0945508784204655,0.0038926267292315,0.0652987497543762,0.0105671114723498,50,ok,3.0795218198195538,0.0,0.9194172419914546,0.9194172419914546
adult,histdistill_density,HistDistill-Density,budget_50,seed_0,xgboost,0.9154183105965256,0.8689847105403855,0.8679914914579338,0.028147113150894576,0.029140332233346333,-0.0009932190824517,0.0748246252837545,0.0374065559558784,100,ok,2.6466343422869563,0.0,0.9154183105965256,0.8971318236912801
adult,histdistill_density,HistDistill-Density,budget_50,seed_0,lightgbm,0.920137751392296,0.8457748585296814,0.8538276106567301,0.07436289286261466,0.06631014073556596,0.0080527521270487,0.072865503181391,0.0165991882452425,100,ok,2.6466343422869563,0.0,0.920137751392296,0.920137751392296
adult,histdistill_density,HistDistill-Density,budget_50,seed_1,xgboost,0.9154183105965256,0.8635994759805303,0.8523266652052671,0.033532347710749755,0.044805158486012964,-0.0112728107752632,0.053905966553351,0.0164388663203542,100,ok,2.552403754195196,1.0,0.9154183105965256,0.8971318236912801
adult,histdistill_density,HistDistill-Density,budget_50,seed_1,lightgbm,0.920137751392296,0.8258964071454801,0.8491079961605257,0.09350068559561353,0.07028909658056792,0.0232115890150456,0.0543257868869649,0.008862211075198,100,ok,2.552403754195196,1.0,0.9193970927410936,0.9193970927410936
adult,histdistill_density,HistDistill-Density,budget_50,seed_2,xgboost,0.9154183105965256,0.8792696869466555,0.8621600204827552,0.017862136744624557,0.03497180320852489,-0.0171096664639003,0.0817855702380339,0.0390334049347169,100,ok,1.9217964152014724,0.0,0.9154183105965256,0.8971318236912801
adult,histdistill_density,HistDistill-Density,budget_50,seed_2,lightgbm,0.920137751392296,0.846533755726469,0.855184037346983,0.07288348626498553,0.06423320464447158,0.0086502816205139,0.072234165304568,0.0146462211854867,100,ok,1.9217964152014724,0.0,0.9194172419914546,0.9194172419914546
adult,gain_path_refined,Legacy gain-path refined,budget_25,seed_0,xgboost,0.9154183105965256,0.8418125779263572,0.8468076813111186,0.055319245764922864,0.050324142380161474,0.0049951033847613,0.1091041666666666,0.0365818194230168,50,ok,3.244592210128102,0.0,0.9154183105965256,0.8971318236912801
adult,gain_path_refined,Legacy gain-path refined,budget_25,seed_0,lightgbm,0.920137751392296,0.8298899538269505,0.8341091373723778,0.09024779756534551,0.08602861401991824,0.0042191835454272,0.0751229166666666,0.0142993204317616,50,ok,3.244592210128102,0.0,0.920137751392296,0.920137751392296
adult,gain_path_refined,Legacy gain-path refined,budget_25,seed_1,xgboost,0.9154183105965256,0.8270291076765517,0.8338958332392457,0.0701027160147284,0.06323599045203443,0.0068667255626939,0.1078458333333333,0.0501239440346903,50,ok,4.462789241680049,1.0,0.9154183105965256,0.8971318236912801
adult,gain_path_refined,Legacy gain-path refined,budget_25,seed_1,lightgbm,0.920137751392296,0.8156150784483271,0.8173666736262641,0.10378201429276646,0.10203041911482946,0.0017515951779369,0.0962868055555555,0.0200768983129661,50,ok,4.462789241680049,1.0,0.9193970927410936,0.9193970927410936
adult,gain_path_refined,Legacy gain-path refined,budget_25,seed_2,xgboost,0.9154183105965256,0.8398688700682538,0.8394948930335357,0.05726295362302625,0.057636930657744334,-0.000373977034718,0.12245625,0.1121758862622375,50,ok,3.333038898470651,0.0,0.9154183105965256,0.8971318236912801
adult,gain_path_refined,Legacy gain-path refined,budget_25,seed_2,lightgbm,0.920137751392296,0.8156006613122928,0.8255241671151032,0.10381658067916177,0.09389307487635135,0.0099235058028104,0.0813965277777777,0.0173796550908897,50,ok,3.333038898470651,0.0,0.9194172419914546,0.9194172419914546
adult,gain_path_refined,Legacy gain-path refined,budget_50,seed_0,xgboost,0.9154183105965256,0.8819608277728931,0.8712537593116461,0.015170995918386998,0.025878064379634025,-0.010707068461247,0.0984364583333333,0.0460990216699983,100,ok,2.902445818143584,0.0,0.9154183105965256,0.8971318236912801
adult,gain_path_refined,Legacy gain-path refined,budget_50,seed_0,lightgbm,0.920137751392296,0.8448007464949857,0.8543709456147415,0.07533700489731032,0.06576680577755456,0.0095701991197557,0.1046916666666666,0.0290448565630391,100,ok,2.902445818143584,0.0,0.920137751392296,0.920137751392296
adult,gain_path_refined,Legacy gain-path refined,budget_50,seed_1,xgboost,0.9154183105965256,0.865800260481171,0.8552510857145637,0.031331563210109104,0.04188073797671643,-0.0105491747666073,0.0906927083333333,0.0318953167111977,100,ok,2.978869227944112,1.0,0.9154183105965256,0.8971318236912801
adult,gain_path_refined,Legacy gain-path refined,budget_50,seed_1,lightgbm,0.920137751392296,0.8289314748313283,0.8500656066539772,0.09046561790976526,0.06933148608711637,0.0211341318226488,0.0882590277777777,0.0230603883386347,100,ok,2.978869227944112,1.0,0.9193970927410936,0.9193970927410936
adult,gain_path_refined,Legacy gain-path refined,budget_50,seed_2,xgboost,0.9154183105965256,0.880727380990016,0.8663547122669679,0.016404442701264066,0.030777111424312165,-0.014372668723048,0.099209375,0.0583345883778527,100,ok,2.2177909165627536,0.0,0.9154183105965256,0.8971318236912801
adult,gain_path_refined,Legacy gain-path refined,budget_50,seed_2,lightgbm,0.920137751392296,0.8480329641735906,0.8540780866827699,0.07138427781786394,0.06533915530868473,0.0060451225091792,0.0992125,0.026284325540823,100,ok,2.2177909165627536,0.0,0.9194172419914546,0.9194172419914546
adult,herding,Herding,budget_25,seed_0,xgboost,0.9154183105965256,0.828095107240911,0.8332958719397023,0.06903671645036913,0.06383595175157775,0.0052007646987913,0.1460135416666666,0.1236224057128932,50,ok,10.168688920982992,0.0,0.9154183105965256,0.8971318236912801
adult,herding,Herding,budget_25,seed_0,lightgbm,0.920137751392296,0.8033273360363437,0.8279691744261546,0.11681041535595238,0.09216857696614145,0.0246418383898109,0.0681388888888889,0.0132258469254721,50,ok,10.168688920982992,0.0,0.920137751392296,0.920137751392296
adult,herding,Herding,budget_25,seed_1,xgboost,0.9154183105965256,0.828095107240911,0.8332958719397023,0.06903671645036913,0.06383595175157775,0.0052007646987913,0.1460135416666666,0.1236224057128932,50,ok,8.6352457131647,0.0,0.9154183105965256,0.8971318236912801
adult,herding,Herding,budget_25,seed_1,lightgbm,0.920137751392296,0.8033273360363437,0.8276144781396266,0.11606975670474995,0.09178261460146697,0.0242871421032829,0.0679083333333333,0.0131507105998688,50,ok,8.6352457131647,0.0,0.9193970927410936,0.9193970927410936
adult,herding,Herding,budget_25,seed_2,xgboost,0.9154183105965256,0.828095107240911,0.8332958719397023,0.06903671645036913,0.06383595175157775,0.0052007646987913,0.1460135416666666,0.1236224057128932,50,ok,4.229959375119275,0.0,0.9154183105965256,0.8971318236912801
adult,herding,Herding,budget_25,seed_2,lightgbm,0.920137751392296,0.8033273360363437,0.8276144781396266,0.11608990595511093,0.09180276385182795,0.0242871421032829,0.0679083333333333,0.0131507105998688,50,ok,4.229959375119275,0.0,0.9194172419914546,0.9194172419914546
adult,herding,Herding,budget_50,seed_0,xgboost,0.9154183105965256,0.8330829152074382,0.846246281507956,0.06404890848384193,0.050885542183324084,0.0131633663005178,0.1708447916666666,0.1559640507834506,100,ok,9.036370210426629,0.0,0.9154183105965256,0.8971318236912801
adult,herding,Herding,budget_50,seed_0,lightgbm,0.920137751392296,0.8259653662178363,0.8620234919415157,0.0941723851744597,0.0581142594507803,0.0360581257236793,0.13171875,0.0567857985894473,100,ok,9.036370210426629,0.0,0.920137751392296,0.920137751392296
adult,herding,Herding,budget_50,seed_1,xgboost,0.9154183105965256,0.8330829152074382,0.846246281507956,0.06404890848384193,0.050885542183324084,0.0131633663005178,0.1708447916666666,0.1559640507834506,100,ok,8.10053606438397,0.0,0.9154183105965256,0.8971318236912801
adult,herding,Herding,budget_50,seed_1,lightgbm,0.920137751392296,0.8246718190847446,0.8637804718329114,0.09472527365634897,0.0556166209081822,0.0391086527481667,0.1339590277777777,0.0592170354043812,100,ok,8.10053606438397,0.0,0.9193970927410936,0.9193970927410936
adult,herding,Herding,budget_50,seed_2,xgboost,0.9154183105965256,0.8330829152074382,0.846246281507956,0.06404890848384193,0.050885542183324084,0.0131633663005178,0.1708447916666666,0.1559640507834506,100,ok,7.872132963458434,0.0,0.9154183105965256,0.8971318236912801
adult,herding,Herding,budget_50,seed_2,lightgbm,0.920137751392296,0.8246685187764958,0.8612015414871329,0.09474872321495875,0.05821570050432168,0.036533022710637,0.1314812499999999,0.0582201798805304,100,ok,7.872132963458434,0.0,0.9194172419914546,0.9194172419914546
adult,random,Random,budget_25,seed_0,xgboost,0.9154183105965256,0.8323740437356849,0.8539377367319791,0.06475777995559517,0.04319408695930094,0.0215636929962942,0.13746875,0.0828317013969651,50,ok,2.274282959774601,0.0,0.9154183105965256,0.8971318236912801
adult,random,Random,budget_25,seed_0,lightgbm,0.920137751392296,0.6704136745319381,0.691057971130293,0.2497240768603579,0.22907978026200304,0.0206442965983548,0.0658618055555555,0.011293906290202,50,ok,2.274282959774601,0.0,0.920137751392296,0.920137751392296
adult,random,Random,budget_25,seed_1,xgboost,0.9154183105965256,0.8074751287033367,0.7952563453637096,0.08965669498794337,0.10187547832757049,-0.0122187833396271,0.0877520833333333,0.096331089914113,50,ok,2.559077925845392,0.0,0.9154183105965256,0.8971318236912801
adult,random,Random,budget_25,seed_1,lightgbm,0.920137751392296,0.7650289958134722,0.813319453510642,0.15436809692762143,0.10607763923045155,0.0482904576971698,0.0825736111111111,0.0212753220768026,50,ok,2.559077925845392,0.0,0.9193970927410936,0.9193970927410936
adult,random,Random,budget_25,seed_2,xgboost,0.9154183105965256,0.8217137006912234,0.7977366138628927,0.07541812300005668,0.09939520982838734,-0.0239770868283306,0.1052447916666666,0.0409680363760266,50,ok,4.666438627500726,1.0,0.9154183105965256,0.8971318236912801
adult,random,Random,budget_25,seed_2,lightgbm,0.920137751392296,0.8077943901012986,0.8192151936464549,0.11162285189015597,0.10020204834499968,0.0114208035451562,0.0508833333333333,0.0082946349338253,50,ok,4.666438627500726,1.0,0.9194172419914546,0.9194172419914546
