method,auroc_mean,auroc_std,accuracy_mean,log_loss_mean,train_seconds_mean,n_cells,avg_rank,method_label
gain_path_refined,0.8116860961216447,0.11134471316421252,0.7564352019024384,0.9752777596312324,0.09193235416629851,24,2.375,Legacy gain-path refined
histdistill_refined,0.8066502707500547,0.11118708720585477,0.7553087019286479,0.9920450976022791,0.09569991249736627,24,2.7916666666666665,HistDistill-Refined
herding,0.8021183660156358,0.12095935066408077,0.7331754747921279,1.0444305326178063,0.08189063750129809,24,2.8333333333333335,Herding
histdistill_density,0.794284726702028,0.12705869925364582,0.7357781867831613,1.2988521245562097,0.09088240832958638,24,2.8333333333333335,HistDistill-Density
random,0.7570616505026176,0.1354445068510472,0.6769981701920167,1.5474066248577525,0.08328262499890111,24,4.166666666666667,Random
