method,method_label,metric_mean,metric_std,n_cells
full_data,Full data,0.927412514586396,0.0859707169060283,96
histdistill,HistDistill,0.9043572252319968,0.0989239526120966,96
k_center,K-center,0.8933502577250844,0.11909317074577223,96
random,Random,0.8920629937545134,0.10842365437239591,96
herding,Herding,0.889322767971476,0.10409111846113792,96
