method,method_label,deployed_r2,leaf_refit_r2,structure_ref_r2,structure_error,leaf_estimate_recovery,leaf_population_l1,n_cells
histdistill,HistDistill,0.16236874432191659,0.27955632921085305,0.6266368985754441,0.3470805693645911,0.11718758488893649,0.08851451933687764,96
random,Random,0.1568528406858193,0.28936217221653693,0.6266368985754441,0.33727472635890726,0.13250933153071762,0.08983026291672717,96
herding,Herding,0.13083047098720596,0.28018202403103315,0.6266368985754441,0.346454874544411,0.1493515530438272,0.13866569375423676,96
k_center,K-center,0.048467004150898906,0.2836975419264468,0.6266368985754441,0.34293935664899733,0.23523053777554792,0.15065102795424803,96
