method,budget_10,budget_100,budget_200,budget_25,budget_50,method_label
gain_path_refined,0.6239967430673103,0.7884088842195233,0.8026628024256538,0.7355945598044529,0.7644332743753322,Legacy gain-path refined
herding,0.6264143484229125,0.7721939008372458,0.7867501297876306,0.7208448344392202,0.7469221037870318,Herding
histdistill_density,0.6226200396678522,0.7878952147293713,0.8030465681723954,0.7340752558292948,0.7646438538377215,HistDistill-Density
histdistill_refined,0.6248000251710207,0.7861456100580552,0.8022214050872541,0.7335729359988967,0.7655563384971783,HistDistill-Refined
random,0.60043658059056,0.7748639235806877,0.7957684988945124,0.7066403232814675,0.7442293375666934,Random
