method,auroc_mean,auroc_std,accuracy_mean,log_loss_mean,n_cells,avg_rank,method_label
gain_path_refined,0.7500139170898925,0.17778818129785415,0.7058107197047678,0.8520280381531335,1300,2.5073076923076925,Legacy gain-path refined
histdistill_refined,0.7495646372480376,0.17699454375512352,0.7095131547263419,0.8291865715025056,1300,2.6153846153846154,HistDistill-Refined
histdistill_density,0.7493595548335081,0.17672029358186284,0.7082775154447828,0.8450454938790178,1300,2.625,HistDistill-Density
herding,0.7338834691131261,0.16808355834704058,0.6835466430905522,0.9878769811274204,1300,3.4446153846153846,Herding
random,0.7254348304240805,0.1762298994908527,0.6794219358388064,0.9486142786010515,1300,3.8076923076923075,Random
