dataset,method,method_label,budget,seed,checkpoint,rho_max,rho_mean,rho_p90,rows
adult,histdistill_greedy,Pure greedy selector,budget_50,seed_0,50,4.560095369815826,1.978172728009522,3.8598764568567288,100
adult,histdistill_greedy,Pure greedy selector,budget_50,seed_1,1,0.40490782260894775,0.13268416941165925,0.2407225906848915,100
adult,histdistill_greedy,Pure greedy selector,budget_50,seed_1,5,1.3325929939746857,0.44581175163388254,1.0031092405319224,100
adult,histdistill_greedy,Pure greedy selector,budget_50,seed_1,10,2.0947978869080544,0.7732513244822621,1.808449967205525,100
adult,histdistill_greedy,Pure greedy selector,budget_50,seed_1,25,3.7831740975379944,1.3941617961414159,3.1419212609529503,100
adult,histdistill_greedy,Pure greedy selector,budget_50,seed_1,50,5.377240896224976,2.067989603318274,4.06299749016762,100
adult,histdistill_greedy,Pure greedy selector,budget_50,seed_2,1,0.4238698482513428,0.30211220145225526,0.4238698482513428,100
adult,histdistill_greedy,Pure greedy selector,budget_50,seed_2,5,1.0742112696170807,0.3683930091559887,0.7045788764953613,100
adult,histdistill_greedy,Pure greedy selector,budget_50,seed_2,10,1.9957881569862366,0.5811945367604494,1.513687014579773,100
adult,histdistill_greedy,Pure greedy selector,budget_50,seed_2,25,3.507170081138611,1.0560858914442361,2.9260057926178,100
adult,histdistill_greedy,Pure greedy selector,budget_50,seed_2,50,5.386110305786133,1.6375796619802714,4.393902543187143,100
adult,histdistill_importance,ImportanceSample,budget_25,seed_0,1,0.28225672245025635,0.12550910711288452,0.21761012077331543,50
adult,histdistill_importance,ImportanceSample,budget_25,seed_0,5,0.7605443596839905,0.24241633117198944,0.4468206644058228,50
adult,histdistill_importance,ImportanceSample,budget_25,seed_0,10,1.048461675643921,0.2910474742949009,0.5949815511703491,50
adult,histdistill_importance,ImportanceSample,budget_25,seed_0,25,1.1320016384124756,0.39118743281811474,0.6750062227249146,50
adult,histdistill_importance,ImportanceSample,budget_25,seed_0,50,1.8201948404312134,0.5569321508705616,1.0525343164801597,50
adult,histdistill_importance,ImportanceSample,budget_25,seed_1,1,0.9440363049507141,0.6673219728469849,0.802307066321373,50
adult,histdistill_importance,ImportanceSample,budget_25,seed_1,5,1.3544136136770248,0.5912235410511494,0.9394498348236084,50
adult,histdistill_importance,ImportanceSample,budget_25,seed_1,10,1.6733683496713638,0.5521732828393578,0.9966063290834427,50
adult,histdistill_importance,ImportanceSample,budget_25,seed_1,25,2.076217509806156,0.6251539484411478,1.3988715320825578,50
adult,histdistill_importance,ImportanceSample,budget_25,seed_1,50,2.627625495195389,0.8258032065629959,1.7209074616432192,50
