method,learner,auroc,full_auroc,transfer_regret,speedup_vs_full,n_cells,method_label
gain_path_refined,catboost,0.7284130870384152,0.8382905172507208,0.10987743021230557,14.125056413691663,390,Legacy gain-path refined
gain_path_refined,lightgbm,0.7286801183497881,0.8220929515989865,0.09341283324919845,3.8119103071245144,390,Legacy gain-path refined
gain_path_refined,mlp,0.6719468519324033,0.7358673426966965,0.06392049076429311,6.7365994025091585,390,Legacy gain-path refined
gain_path_refined,random_forest,0.7921342296434488,0.8338548217279734,0.04172059208452462,1.7036177931656526,390,Legacy gain-path refined
gain_path_refined,xgboost,0.793682902247815,0.8292154144647167,0.03553251221690166,2.5263564768810833,390,Legacy gain-path refined
herding,catboost,0.7115173031662666,0.8382905172507208,0.1267732140844542,8.28843544353381,390,Herding
herding,lightgbm,0.7121723598572401,0.8220929515989865,0.1099205917417465,3.6493539575227123,390,Herding
herding,mlp,0.6788248832462608,0.7358673426966965,0.057042459450435644,6.2420603754663695,390,Herding
herding,random_forest,0.7767913175898152,0.8338548217279734,0.05706350413815825,1.5827182516176204,390,Herding
herding,xgboost,0.7744442188928823,0.8292154144647167,0.05477119557183446,2.2082683712910827,390,Herding
histdistill_density,catboost,0.7285300465514732,0.8382905172507208,0.1097604706992475,8.408736944074166,390,HistDistill-Density
histdistill_density,lightgbm,0.726239260098802,0.8220929515989865,0.09585369150018451,3.5447494259814105,390,HistDistill-Density
histdistill_density,mlp,0.6725456592291853,0.7358673426966965,0.06332168346751106,6.083746126096639,390,HistDistill-Density
histdistill_density,random_forest,0.7919145114503998,0.8338548217279734,0.04194031027757365,1.6030267148464066,390,HistDistill-Density
histdistill_density,xgboost,0.7923866917247099,0.8292154144647167,0.03682872274000681,2.380673263589115,390,HistDistill-Density
histdistill_refined,catboost,0.7292751929099721,0.8382905172507208,0.10901532434074869,9.075530108233206,390,HistDistill-Refined
histdistill_refined,lightgbm,0.7268137670771077,0.8220929515989865,0.09527918452187879,3.859401262560721,390,HistDistill-Refined
histdistill_refined,mlp,0.6716940000345916,0.7358673426966965,0.06417334266210481,6.425784412497801,390,HistDistill-Refined
histdistill_refined,random_forest,0.7918719513654535,0.8338548217279734,0.04198287036251992,1.6242075369100601,390,HistDistill-Refined
histdistill_refined,xgboost,0.7918614432361974,0.8292154144647167,0.037353971228519224,2.4150790057075673,390,HistDistill-Refined
random,catboost,0.7159101438578016,0.8382905172507208,0.12238037339291907,9.29217835988427,390,Random
random,lightgbm,0.7143410598048681,0.8220929515989865,0.1077518917941185,3.5968053135243943,390,Random
random,mlp,0.6598062277122101,0.7358673426966965,0.07606111498448634,6.048846291099386,390,Random
random,random_forest,0.7683613916137303,0.8338548217279734,0.06549343011424325,1.6259808269944906,390,Random
random,xgboost,0.7658204203895627,0.8292154144647167,0.06339499407515406,2.1173180162578813,390,Random
