dataset,distribution_matching,full_data,gain_herding,gain_path_herding,gain_path_prior_weighted,gain_path_refined,gain_path_safeguarded,gaindistill,herding,k_center,random
adult,0.7369235533967294,0.8343787899263476,0.7797280476522823,0.7869170570004923,0.7752188307019454,0.7889728711187941,0.7889728711187941,0.5108399145532824,0.758451238293025,0.7383622098725073,0.7553983836827202
australian,0.8388120076644667,0.8943155205450287,0.8776204669647292,0.8781704634163651,0.8794833581718827,0.8755837059115748,0.8755837059115748,0.4639344262295081,0.8700766446668086,0.8413171527925626,0.8624866936342347
bank_marketing,0.7725691264559118,0.8824502048898395,0.8060885607365084,0.8047411143186916,0.7903258418181345,0.8079855923541734,0.8079855923541734,0.5347608042696445,0.7938175756146847,0.6967231262777205,0.7766086271724151
breast_w,0.9817746074879228,0.990217391304348,0.983907004830918,0.9834842995169082,0.9832163345410628,0.9842957427536232,0.9842957427536232,0.58978336352657,0.980672554347826,0.9774720712560386,0.9748980978260868
credit_g,0.6665019841269841,0.7623690476190476,0.7123928571428572,0.7155238095238095,0.7219305555555555,0.7329424603174604,0.7329424603174604,0.5207261904761905,0.7191607142857143,0.632359126984127,0.6671626984126984
diabetes,0.766466049382716,0.8298148148148149,0.7916141975308641,0.7975895061728395,0.7962037037037037,0.8120401234567901,0.8120401234567901,0.4140092592592592,0.7783240740740741,0.728070987654321,0.7601049382716049
pc1,0.6925979602791197,0.7956199677938808,0.7682823403113258,0.7723832528180353,0.7459849704777242,0.7750509930220075,0.7750509930220075,0.5264949006977993,0.6951851851851851,0.5495974235104669,0.7466881374127751
spambase,0.8953288999476682,0.9741397355766857,0.9120082381323829,0.8920636801379714,0.9001286076799274,0.9027428899618538,0.8920636801379714,0.5459442091162521,0.9207606366697276,0.8440189611988242,0.8780829638845279
