dose_ratio,auroc,delta_auc_vs_dose0,agreement,root_agreement,split_regret_norm,n_cells
0.0,0.8153189815279751,0.0,1.0,1.0,0.0,234
0.25,0.8153189815279751,0.0,1.0,1.0,0.0,234
0.49,0.8153189815279751,0.0,1.0,1.0,4.965953258958622e-21,234
0.5,0.8153189815279751,0.0,1.0,1.0,1.2275098136980641e-20,234
0.75,0.8130572679895253,-0.002261713538449731,0.933196661702647,0.9349358974358974,0.010913244040364634,234
1.0,0.811221507776326,-0.004097473751649213,0.8356066662845106,0.8387286324786324,0.030226372864050763,234
1.5,0.8110088726141986,-0.004310108913776465,0.6873996325055447,0.6838675213675214,0.0694761094105412,234
2.0,0.8076952867509867,-0.007623694776988524,0.589919650088194,0.5842948717948717,0.10111289142806004,234
