method,metric_mean,metric_std,train_seconds_mean,select_seconds_mean,n_cells,avg_rank,method_label
full_data,0.9310256925754126,0.09109936112947199,4.145642561111105,2.406736110869032e-05,144,1.0590277777777777,Full data
histdistill,0.9100327454385266,0.09996956154423224,1.4298233472222062,3.612219133333257,144,2.888888888888889,HistDistill
k_center,0.9021965751896955,0.11966074377188567,1.6666647451387715,0.2441056250000252,144,3.0381944444444446,K-center
random,0.8971038208312354,0.11242284444029331,1.5320233972223098,0.0006994583333658334,144,3.9375,Random
herding,0.8960333474725339,0.10458009289966858,1.4774548965277998,0.026784122222263958,144,4.076388888888889,Herding
