method,metric_mean,metric_std,train_seconds_mean,select_seconds_mean,n_cells,avg_rank,method_label
full_data,0.6256556636542056,0.24820511665794276,3.837055049305642,3.0347222226131027e-05,144,1.0972222222222223,Full data
herding,-0.2470700192258088,1.9294946870260181,0.06292242986107037,0.011399148611063638,144,3.8159722222222223,Herding
random,-0.6794472447117705,4.555732913252264,0.06658309375005603,0.0002673340277902349,144,3.1875,Random
histdistill,-1.7936251153770766,13.82027904976363,0.06157193402783731,0.31318781805549,144,2.920138888888889,HistDistill
k_center,-4.0679128179881445,49.25440003122698,0.07401674444444477,0.04602362013894082,144,3.9791666666666665,K-center
