method,method_label,metric_mean,metric_std,n_cells
full_data,Full data,0.6275179905166911,0.20988953887675374,96
histdistill,HistDistill,0.16236874432191659,0.19275949133770948,96
random,Random,0.1568528406858193,0.20154896247932005,96
herding,Herding,0.13083047098720596,0.21207990081055988,96
k_center,K-center,0.048467004150898906,0.19989669934339424,96
