dose_ratio,agreement,split_regret_norm,n_states
0.0,1.0,0.0,252
0.25,1.0,0.0,252
0.49,1.0,0.0,252
0.5,1.0,0.0,252
0.75,0.9088541666666666,0.03086095795855028,252
1.0,0.7869853670634921,0.07262262075243099,252
1.5,0.6299603174603174,0.12586933018430277,252
2.0,0.5420386904761905,0.1593115554133118,252
