dataset,budget,seed,method,auroc,sld_inf_norm,sld_root_margin_satisfied,sld_root_agreement_direct,sld_margin_satisfied_rate,sld_rank_correlation_direct,sld_inf_raw
adult,budget_10,seed_0,gain_path_refined,0.6336720375998908,10.545240126708295,0.0,0.0,0.0,0.4192966457730656,1137.4550312232998
adult,budget_10,seed_0,herding,0.6239615927496048,13.2570057437272,0.0,0.0,0.0,0.3920534124466123,1337.5736420798235
adult,budget_10,seed_0,histdistill_density,0.6357672122365703,9.061587895204614,0.0,0.0,0.0,0.4257343150163507,1018.625235918981
adult,budget_10,seed_0,histdistill_refined,0.6357567207303478,9.25442688608212,0.0,0.0,0.0,0.4345136206392986,1049.8707701694223
adult,budget_10,seed_0,random,0.6075289410978354,2.404788860795961,0.0,0.0,0.0,0.244770366661246,653.96179213159
adult,budget_10,seed_1,gain_path_refined,0.6334680090699418,4.368062401312,0.0,1.0,0.0,0.311433422126854,543.2133200354642
adult,budget_10,seed_1,herding,0.6239615927496048,10.767140488317644,0.0,0.0,0.0,0.4015938935491007,1089.3308584534266
adult,budget_10,seed_1,histdistill_density,0.6351750327164767,3.7274784836594255,0.0,1.0,0.0,0.3533740801021666,527.8086814196527
adult,budget_10,seed_1,histdistill_refined,0.6351400147089528,3.7434082513392175,0.0,1.0,0.0,0.3504073170054797,528.365657004104
adult,budget_10,seed_1,random,0.6090834905032761,3.370372873451917,0.0,0.0,0.0,0.1450005268255655,806.4448585099365
adult,budget_10,seed_2,gain_path_refined,0.6390369492089508,3.7233783679374097,0.0,0.0,0.0,0.3795544450291467,891.2838347228667
adult,budget_10,seed_2,herding,0.6239615927496048,5.415220119178811,0.0,0.0,0.0,0.3621986679533472,1205.3253381384538
adult,budget_10,seed_2,histdistill_density,0.6370742732634386,3.3823779810227346,0.0,0.0,0.0,0.3808891107585772,815.6672316797058
adult,budget_10,seed_2,histdistill_refined,0.636807886277631,3.4103011123574807,0.0,0.0,0.0,0.3850043720152171,819.3574568326492
adult,budget_10,seed_2,random,0.6124862125280396,8.294928675556266,0.0,0.0,0.0,0.3938756535581374,2038.3550140518926
adult,budget_100,seed_0,gain_path_refined,0.8174693653229317,2.060030310309051,0.0,1.0,0.0,0.7214561473819977,245.09295128153818
adult,budget_100,seed_0,herding,0.7635620261669283,6.611807502045251,0.0,0.0,0.0,0.5016210279128172,682.6199248027809
adult,budget_100,seed_0,histdistill_density,0.8170195506786649,1.7308080140743891,0.0,1.0,0.0,0.721499976515995,223.60388859219282
adult,budget_100,seed_0,histdistill_refined,0.8240168642277504,2.003335814426827,0.0,1.0,0.0,0.7154198592787542,286.1425863283785
adult,budget_100,seed_0,random,0.797672831063474,3.124072428164231,0.0,1.0,0.0,0.5796969424922694,330.55736626237655
adult,budget_100,seed_1,gain_path_refined,0.8209284705086193,2.347148328805954,0.0,1.0,0.0,0.6561101035486401,265.92077345913947
adult,budget_100,seed_1,herding,0.7635620261669283,5.425126249430465,0.0,0.0,0.0,0.4898787634963092,665.0653283520651
adult,budget_100,seed_1,histdistill_density,0.8254787270815305,1.94289035750384,0.0,1.0,0.0,0.6598934826484443,249.67315408997743
adult,budget_100,seed_1,histdistill_refined,0.8232602946167804,1.7661497821667336,0.0,1.0,0.0,0.6861597437791641,216.24914906319134
adult,budget_100,seed_1,random,0.8048432544652302,1.6562013538947458,0.0,0.0,0.0,0.6168363941278482,230.38126054989115
adult,budget_100,seed_2,gain_path_refined,0.8164373068234048,1.5923504352061368,0.0,1.0,0.0,0.7152574131027738,247.64336602079865
adult,budget_100,seed_2,herding,0.7635620261669283,5.567998276748093,0.0,0.0,0.0,0.4718468206778876,649.6909409485996
adult,budget_100,seed_2,histdistill_density,0.8189857006328601,1.412246148874181,0.0,0.0,0.0,0.692274325162614,210.3591806773443
adult,budget_100,seed_2,histdistill_refined,0.825892342555321,1.3865980816506729,0.0,0.0,0.0,0.7065368492564146,191.58756178746356
adult,budget_100,seed_2,random,0.8079905326315373,3.174163562590617,0.0,1.0,0.0,0.6507586040284646,330.48071254551985
