budget,learner,ablation_full,ablation_no_child,ablation_no_entropy_anneal,ablation_no_gain,ablation_no_hist,ablation_no_margin,ablation_no_marginal,ablation_no_newton,ablation_no_pairwise,craig_coreset,distribution_matching,el2n_coreset,full_data,gain_herding,gain_path_diverse,gain_path_dual,gain_path_herding,gain_path_prior_weighted,gain_path_refined,gain_path_refined_weighted,gain_path_safeguarded,gain_weighted_coreset,gaindistill,gaindistill_anchor,gaindistill_full,gaindistill_hybrid,gaindistill_path_hybrid,goss_coreset,gradient_sampling,gradmatch_coreset,grand_coreset,herding,histdistill_density,histdistill_density_mid,histdistill_density_strong,histdistill_density_weak,histdistill_density_xstrong,histdistill_greedy,histdistill_importance,histdistill_linear_coverage,histdistill_no_refine,histdistill_no_weight_fit,histdistill_refined,histdistill_root_only,k_center,math_full,math_no_anchor,math_no_hist,math_no_newton,math_no_probes,math_no_soft_routing,math_root_only,math_tuned,math_tuned_more_probes,math_tuned_no_anchor,math_tuned_no_hist,mvs_coreset,random,refined_no_conf,refined_no_gain_weight,refined_no_grad,refined_no_hess,refined_no_path,refined_no_raw,refined_no_refine,refined_path_occupancy_only,region_adaptive_refined,region_trajectory_refined,sketch_no_conf,sketch_no_gain_weight,sketch_no_grad,sketch_no_hess,sketch_no_raw,sketch_occupancy_only,split_margin_refined,threshold_witness,trajectory_refined,tree_region
budget_10,catboost,,,,,,,,,,,0.5,,0.8382905172507207,0.5,,,0.5,,0.5,,,0.5,0.5,,,0.5,0.5,,0.5,,,0.5,0.5,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,0.5,,,,,,,,,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5
budget_10,lightgbm,,,,,,,,,,,0.5,,0.8220929515989865,0.5,,,0.5,,0.5,,,0.5,0.5,,,0.5,0.5,,0.5,,,0.5,0.5,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,0.5,,,,,,,,,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5
budget_10,mlp,,,,,,,,,,,0.6077095850982561,,0.7358673426966965,0.6282901391392369,,,0.6406981974823747,,0.6366924032880136,,,0.6043192348230935,0.479716812541179,,,0.6043192348230935,0.6351082308852422,,0.38154652111649767,,,0.6611694829118431,0.629879474380205,,,,,,,,,,0.6392117555480946,,0.5778488808372856,,,,,,,,,,,,,0.6038814843861526,,,,,,,,,0.6506498403847645,0.640805763841263,,,,,,,0.6323554194677437,0.44950989240775996,0.6579707181154745,0.38154652111649767
budget_10,random_forest,,,,,,,,,,,0.713007618796013,,0.8338548217279734,0.7516053675316142,,,0.7538469024736767,,0.753358921394011,,,0.7502205825112507,0.5101495751226889,,,0.7502205825112507,0.746464954499059,,0.29689702393530004,,,0.7454506385240111,0.7531487571182871,,,,,,,,,,0.7536526901463613,,0.693153817458624,,,,,,,,,,,,,0.7104223871826549,,,,,,,,,0.8560611943156995,0.8457620429648042,,,,,,,0.8616180317578952,0.5882370149189022,0.8493192450846304,0.29689702393530004
budget_10,xgboost,,,,,,,,,,,0.6934441673024091,,0.8292154144647168,0.7324506984023222,,,0.732707521938678,,0.7299323906545273,,,0.7555456910008002,0.4960962714686129,,,0.7555456910008002,0.7447992398926614,,0.3141547846703778,,,0.7254516206787086,0.7300719668407687,,,,,,,,,,0.7311356801606481,,0.6617845368210685,,,,,,,,,,,,,0.6878790313839922,,,,,,,,,0.8410151547344724,0.8135185148587777,,,,,,,0.8453800211928835,0.6363140835584532,0.8268123514012395,0.3141547846703778
budget_100,catboost,,,,,,,,,,,0.738502291523142,,0.8382905172507207,0.8141221661553358,,,0.8144300256133594,,0.8133865464263518,,,0.8089963147588534,0.4897703004044142,,,0.8089963147588534,0.8088545457438462,,0.4906258665750597,,,0.790254239903348,0.8136615155848514,,,,,,,,,,0.8132250419767145,,0.769235706940046,,,,,,,,,,,,,0.798399062651754,,,,,,,,,,,,,,,,,,,,0.4906258665750597
budget_100,lightgbm,,,,,,,,,,,0.7408042797414318,,0.8220929515989865,0.8101992291299657,,,0.8141178671980462,,0.8100744806511102,,,0.8037524005122905,0.5043979524054414,,,0.8037524005122905,0.8038303848948544,,0.48011558484338973,,,0.7943920544701967,0.8055406731332609,,,,,,,,,,0.8075130976483801,,0.7717626446142057,,,,,,,,,,,,,0.7952595797541664,,,,,,,,,,,,,,,,,,,,0.48011558484338973
budget_100,mlp,,,,,,,,,,,0.6371467890644152,,0.7358673426966965,0.6969350486683431,,,0.693830795383457,,0.6940493801652384,,,0.6394247610879508,0.48352640079217585,,,0.6394247610879508,0.659305329883956,,0.49703097805789026,,,0.6905932389802756,0.6961491725211142,,,,,,,,,,0.6890937954768513,,0.6687625949907929,,,,,,,,,,,,,0.6855701676412812,,,,,,,,,,,,,,,,,,,,0.49703097805789026
budget_100,random_forest,,,,,,,,,,,0.7456861190674778,,0.8338548217279734,0.8089621672151103,,,0.8077588024137932,,0.8064190960009495,,,0.8068328764042166,0.5211676656648652,,,0.8068328764042166,0.8033097201266666,,0.4910409339528957,,,0.7928029469151449,0.8067429514702152,,,,,,,,,,0.8062986599515026,,0.7746021991149907,,,,,,,,,,,,,0.7950935354373272,,,,,,,,,,,,,,,,,,,,0.4910409339528957
budget_100,xgboost,,,,,,,,,,,0.7481898042754354,,0.8292154144647168,0.8171575060892413,,,0.814816214594149,,0.8181149178539658,,,0.8097985864932908,0.5000749478403953,,,0.8097985864932908,0.8050361344070112,,0.4788704806309746,,,0.7929270239172639,0.817381760937415,,,,,,,,,,0.814597455236827,,0.7825442380560473,,,,,,,,,,,,,0.7999972724189099,,,,,,,,,,,,,,,,,,,,0.4788704806309746
budget_25,catboost,,,,,,,,,,0.6662382914510853,0.6956736491979031,0.6587180706190853,0.8382905172507207,0.7195822569722048,0.8056577488649664,0.8130115409152171,0.7258906560325088,0.8336828207501447,0.7260178673419412,,0.7296218420840325,0.7180509676994588,0.5163877275577331,0.7868223279545304,0.7855601173636909,0.7180509676994588,0.7224592940246946,0.6957748000394335,0.35689862298043773,0.6888789992172831,0.6587180706190853,0.6998720490343786,0.7252942270953295,,,,,0.614147737807026,0.6628351610780108,0.5811622319210669,0.613549266819992,0.5940446633857701,0.7259646904181447,0.5822126466934688,0.667373757503374,,,,,,,,,,,,0.6750065424187052,0.6985329970928645,0.8292499409956677,0.8398664249131077,0.8277617611864282,0.8400847022935689,0.830041923611595,0.8323534882164785,0.832255518789839,0.8320974130682666,0.8140023065824283,0.8168527698509949,,,,,,,0.8301093348014235,0.6583902569363458,0.8287551905352192,0.35689862298043773
budget_25,lightgbm,,,,,,,,,,0.6637997138625342,0.6951775394523845,0.6613894387871843,0.8220929515989865,0.7204013905076642,0.804789039993744,0.8153027051374837,0.7262660710041048,0.8307400677419888,0.7271894421017652,,0.7306120696378117,0.7156580958603657,0.49780912088273077,0.7895297048172479,0.7875822428280395,0.7156580958603657,0.7171419089886147,0.6893711838218637,0.35034570226175127,0.6907907549516378,0.6613894387871843,0.7055432483889243,0.7244413974289082,,,,,0.6160377051675071,0.6657457534140311,0.560508259584683,0.6149009823128412,0.5936365976985882,0.7257059039638766,0.5553253731947216,0.6697478804638978,,,,,,,,,,,,0.6745707452090989,0.6997498112178514,0.8265003359459363,0.8373192099378017,0.8266750687004967,0.8392469613731287,0.8245148622942078,0.826765749778067,0.8293079733074977,0.8315751472529317,0.8179533220402565,0.8151345699065669,,,,,,,0.8239282123317364,0.6682806249987449,0.8263436680015126,0.35034570226175127
budget_25,mlp,,,,,,,,,,0.6079173324561928,0.6217798093084764,0.5920997521419472,0.7358673426966965,0.6590483458247316,0.6745653464786604,0.6696117825967368,0.6411104140695977,0.6385056898964172,0.6570777795528572,,0.646903004849637,0.6276770148841249,0.4937015899352055,0.613766420966504,0.6107588191330544,0.6276770148841249,0.6323302823884848,0.5856114007630682,0.4199012869774347,0.6288726795222151,0.5920997521419472,0.6641813577013362,0.6535266512122828,0.659569159066895,0.659569159066895,0.6575436988965895,0.6591830660724164,0.5620157968066105,0.5818388560113272,0.5648666081219151,0.5598042154866103,0.5681212857063375,0.6499650960844174,0.5632567211096814,0.6194797749377017,,,,,,,,,,,,0.5895673552462593,0.6405059722922708,0.6724426310926718,0.6764605408555655,0.6739010752249747,0.6667133743576337,0.66783791797092,0.6431775606761588,0.6425260673920653,0.6617901629297921,0.6496772978757213,0.6631310741844452,,,,,,,0.6703952106080899,0.5352578570266235,0.6610832535213079,0.4199012869774347
budget_25,random_forest,,,,,,,,,,0.7304808699211945,0.7319671646901,0.6774213715894116,0.8338548217279734,0.7824016548430126,0.8763567231907216,0.8872852545905612,0.7835238491316132,0.8780441754696104,0.783563302724288,,0.7835707622540691,0.7761821294848343,0.528344321669527,0.8577542772700294,0.8524535082313546,0.7761821294848343,0.7823001500326519,0.7037648627285408,0.3245052889021409,0.7488283213207505,0.6774213715894116,0.7660547578524817,0.7826636365084406,,,,,0.6576208065672206,0.7002552016949699,0.6416351812792509,0.6573353148259421,0.654070948276304,0.7821024826492936,0.6499544642789564,0.7175164937194118,,,,,,,,,,,,0.6986535870011229,0.7491692926506457,0.8837432074587778,0.8829821581385625,0.8837308800211912,0.8827387456279221,0.878295464862729,0.8842876293097275,0.883098365885132,0.8846246712907981,0.8699462526429991,0.8727370187095636,,,,,,,0.8803078073915371,0.6913010837475776,0.882214303126336,0.3245052889021409
budget_25,xgboost,,,,,,,,,,0.7152989583116119,0.7248779552332228,0.6955232756452732,0.8292154144647168,0.7814355961713294,0.8542110640914571,0.8717945108434447,0.7848545227450978,0.8622183500585754,0.7841244073014124,,0.7863868426396097,0.7705231810171699,0.507388740354484,0.8608379504003989,0.8608578994467034,0.7705231810171699,0.7814930367109175,0.7245062004833434,0.32488605562314193,0.7360060947543554,0.6955232756452732,0.7685727592189806,0.7844503669015128,0.7851117260751165,0.7851117260751165,0.7863636745689264,0.7858039623248084,0.6451016505459383,0.7128092980442479,0.5883007195080059,0.6431758128520164,0.619979141236047,0.7841265068787517,0.5805206822210329,0.7132422065384993,,,,,,,,,,,,0.7121251315246456,0.7452435431537054,0.8682514449158937,0.8705968528440582,0.8682518378250841,0.8721437085969348,0.8680166229465267,0.8740271864566889,0.8739083086354547,0.8718214024385409,0.8536173427407072,0.8635489147068597,,,,,,,0.8618376510519583,0.6834941045296815,0.8679751293683986,0.32488605562314193
budget_50,catboost,0.4830594961510969,0.3964393741168884,0.49684511166747153,0.5153408373924846,0.5394370230281683,0.397096646588657,0.4276836437435061,0.5205518921276511,0.5868888007097597,0.7301818454199898,0.7229867879327164,0.7317422918392045,0.8382905172507207,0.7786245030665382,0.8512901076482063,0.8752252457566632,0.7726714461862783,0.8747283072755055,0.776387376433642,0.8771579093945933,0.777126351504643,0.7750876768687969,0.5138752515442756,0.8599544366290157,0.8588404934112616,0.7750876768687969,0.7745401837788428,0.731501984653615,0.35998472038238816,0.7503179227293063,0.7317422918392045,0.7521083967891885,0.7754685290449184,,,,,0.6436287798536984,0.7258182446534863,0.6107588627154854,0.64368726378315,0.6250003375009351,0.7753280510917528,0.6026986067885971,0.7229642779843262,0.8794067298502034,0.8792135367533338,0.8779171507511749,0.8792294551447208,0.8539737013914582,0.8586500138801252,0.8714881856544581,0.8689454066675263,0.8688164580871856,0.8697575607020164,0.8714682770940263,0.7342914467201204,0.7574553453850114,0.881347828580735,0.8785397568225672,0.8777440693399126,0.8800444967270916,0.8745717192367001,0.8791676069120442,0.8765545199771785,0.8756423104345483,0.8543421531657983,0.8580326402412212,0.9148685938782333,0.9159486521359211,0.9223645076561257,0.9117945864157665,0.9168887004824933,0.9143356515832298,0.8666449993230525,0.7270117107676645,0.8741861452346931,0.35998472038238816
budget_50,lightgbm,0.5328213306644727,0.5282542547752278,0.5073118199150611,0.5139614526462387,0.5319996140505407,0.4413204230548261,0.4628356142170908,0.5723418952169327,0.6242028361015053,0.7362510501924855,0.7245575965771084,0.7401935522248777,0.8220929515989865,0.7774276579170478,0.8651034229565394,0.8735363904988407,0.7703625653882249,0.8777326004195475,0.7759150483882795,0.8821240352356415,0.776767544159076,0.7705674447825673,0.514737456602962,0.8563539950858116,0.8553871191311865,0.7705674447825673,0.771881807951543,0.7433824773732571,0.3660816462472404,0.744372298341806,0.7401935522248777,0.7575775145678028,0.7718417394442498,,,,,0.6452057492267133,0.7357332438397444,0.605082626868668,0.6451680574734789,0.6298386712818757,0.7731189182660104,0.6113320006116416,0.7216859445212983,0.877926096468588,0.8775893354171678,0.8777451413176831,0.8752101998956585,0.8638758408451535,0.8635706982704984,0.8739870806108134,0.8617044156654794,0.8662851598431088,0.8626806607346169,0.8624978549305484,0.7431399241784705,0.7542819633530166,0.8802166799633653,0.8820673825125536,0.8829755774497053,0.8787071904562952,0.8755759069250646,0.8743835044616651,0.8781225026633408,0.874665666650919,0.8559204231266392,0.8627133374442592,0.9149522888804711,0.9137379809571952,0.9218743278423098,0.9166566779396932,0.9186511361271152,0.9184846977499344,0.868983039377132,0.7388849995476178,0.8752432333365963,0.3660816462472404
