variant,downstream_score,split_agreement,gain_corr,top5_overlap
full,0.48918522914123613,0.2,-0.06965432397977003,0.08
math_full,0.834436940070496,0.0,0.3005169922637535,0.1
math_no_anchor,0.8370028638199415,0.0,0.28511606483761526,0.15000000000000002
math_no_hist,0.8371293815679174,0.0,0.26741203020947396,0.15000000000000002
math_no_newton,0.8384279097579158,0.0,0.2541939433674164,0.1
math_no_probes,0.8284269305000906,0.0,0.32037776450169503,0.15000000000000002
math_no_soft_routing,0.8127344864547321,0.0,0.15098136557457648,0.05
math_root_only,0.8154045536325526,0.0,0.2755386536559245,0.1
math_tuned,0.8338304129029013,0.125,0.2893314656067949,0.17500000000000002
math_tuned_more_probes,0.8365009648985691,0.125,0.27496234157339744,0.125
math_tuned_no_anchor,0.8396735470674124,0.125,0.3011514661265653,0.17500000000000002
math_tuned_no_hist,0.8346379593348436,0.0,0.3158721758495898,0.17500000000000002
no_child,0.49191253582583505,0.0,-0.04446931036027844,0.12000000000000002
no_entropy_anneal,0.4874774075438799,0.0,-0.020413516698457413,0.16
no_gain,0.5017757682546311,0.6,-0.004015828557278778,0.28
no_hist,0.5402233827762303,0.2,-0.02300888069937913,0.2
no_margin,0.4521531660179952,0.0,0.011329319603845936,0.12000000000000002
no_marginal,0.47584451813561157,0.2,-0.07720192679475686,0.24000000000000005
no_newton,0.5548075002132368,0.0,-0.008312258677100465,0.16
no_pairwise,0.5634487384941658,0.2,-0.027559275633638015,0.12000000000000002
sketch_no_conf,0.8939693947117071,0.2,0.2539644273983591,0.08
sketch_no_gain_weight,0.8959974902092647,0.2,0.2340331751398435,0.16
sketch_no_grad,0.9014574840934725,0.0,0.4307533648312457,0.24
sketch_no_hess,0.8950719838232285,0.2,0.31438288015676025,0.32
sketch_no_raw,0.9001178322001823,0.2,0.26936446860316804,0.16
sketch_occupancy_only,0.8951413248823833,0.0,0.30363507317235944,0.08
