kind,path,dataset,method,budget,seed,backend,gain_rank_correlation,root_agreement,root_gain_margin,root_margin_satisfied,root_sld_inf,root_sld_inf_norm,root_sld_l1,root_sld_l1_norm,sld_depth_0_agreement,sld_depth_0_inf_norm,sld_depth_1_agreement,sld_depth_1_inf_norm,sld_depth_2_agreement,sld_depth_2_inf_norm,sld_inf,sld_inf_norm,sld_l1,sld_l1_norm,sld_margin_satisfied_rate,sld_rank_correlation_direct,sld_root_agreement_direct,sld_root_inf,sld_root_inf_norm,sld_root_l1,sld_root_l1_norm,sld_root_margin,sld_root_margin_satisfied,sld_states,top5_overlap,train_seconds
split_fidelity,adult\craig_coreset\budget_25\seed_0\split_fidelity.json,adult,craig_coreset,budget_25,seed_0,xgboost,0.3633875399928621,0.0,190.2839959802684,0.0,982.5309747091576,1.0000015220161693,19854.276367930855,0.19811086834261013,0.0,4.056272865689516,0.0,3.990845309996143,0.08333333333333333,7.501172022494857,1243.3350130602978,5.6888876431341995,21438.241038843662,1.0537042427217818,0.0,0.23984147967072622,0.0,2712.785161772493,2.761021647667032,39324.28109072815,0.39238737939684193,190.2839959802684,0.0,25.0,0.2,0.02198830000270391
split_fidelity,adult\craig_coreset\budget_25\seed_1\split_fidelity.json,adult,craig_coreset,budget_25,seed_1,xgboost,0.21197219034597897,0.0,190.2839959802684,0.0,982.5224323424148,0.9999928277561771,19809.767889232033,0.21002092374537942,0.6,3.294144270173755,0.25,5.188833376163899,0.08333333333333333,4.965759824695143,1064.139346404925,4.702820250260867,26288.90402079071,1.1188892027574269,0.0,0.3199687116305999,1.0,1602.224071823297,1.6307134855555283,40644.49750896446,0.43090837609659705,190.2839959802684,0.0,25.0,0.2,0.023404100000334438
split_fidelity,adult\craig_coreset\budget_25\seed_2\split_fidelity.json,adult,craig_coreset,budget_25,seed_2,xgboost,-0.04503242121052286,0.0,190.2839959802684,0.0,982.4713711044883,0.9999408585898538,19844.730379629465,0.20197592843833034,0.0,3.4374324355752335,0.0,10.808604896557572,0.0,26.200761453942565,1283.0667016678149,16.7226055519059,23590.402311831884,3.2006124107607525,0.0,-0.08673067817401865,0.0,1474.4301193192246,1.5006472074451989,32390.552986404982,0.32966494817060005,190.2839959802684,0.0,25.0,0.0,0.02562220000254456
split_fidelity,adult\craig_coreset\budget_50\seed_0\split_fidelity.json,adult,craig_coreset,budget_50,seed_0,xgboost,0.4652822347402243,0.0,190.2839959802684,0.0,982.5055358177235,0.9999756307915593,19855.571769990016,0.19812379418397735,0.0,1.000451596133115,0.25,2.188832582984114,0.3333333333333333,6.13705799381632,480.5996256304373,3.846304582813374,11333.825117594186,0.7502598005994351,0.0,0.40423259189805627,0.0,633.0665612743522,0.6443232234986701,19349.242449174915,0.19307151529175715,190.2839959802684,0.0,25.0,0.2,0.02667970000038622
split_fidelity,adult\craig_coreset\budget_50\seed_1\split_fidelity.json,adult,craig_coreset,budget_50,seed_1,xgboost,0.07824358880327266,0.0,190.2839959802684,0.0,982.5271133250652,0.9999975919721616,19813.44515780895,0.2100599097318737,0.2,1.7838612965861897,0.125,6.1181283982663786,0.25,8.027126097810054,712.0009069441774,6.167593873711304,11196.366017698163,0.9942910944679193,0.0,0.19347326427710054,0.0,1177.130525752773,1.198061280167695,19923.818314093493,0.21123007347983827,190.2839959802684,0.0,25.0,0.2,0.024825300002703443
split_fidelity,adult\craig_coreset\budget_50\seed_2\split_fidelity.json,adult,craig_coreset,budget_50,seed_2,xgboost,0.1799088484634298,0.0,190.2839959802684,0.0,982.4879461321295,0.9999577283408289,19845.312796062462,0.20198185616309866,0.0,1.808414798450121,0.0,3.239994992800766,0.16666666666666666,12.578163851160603,656.3477922281367,7.436000005943359,11995.006747491807,1.1713125627903027,0.0,0.22992993698380107,0.0,1128.8417893643918,1.1489139136951898,22886.91752964453,0.23293873631493317,190.2839959802684,0.0,25.0,0.2,0.02544540000235429
split_fidelity,adult\distribution_matching\budget_10\seed_0\split_fidelity.json,adult,distribution_matching,budget_10,seed_0,xgboost,0.34012468517507044,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.023429200000464334
split_fidelity,adult\distribution_matching\budget_10\seed_1\split_fidelity.json,adult,distribution_matching,budget_10,seed_1,xgboost,0.2878552772865146,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.027578499999435735
split_fidelity,adult\distribution_matching\budget_10\seed_2\split_fidelity.json,adult,distribution_matching,budget_10,seed_2,xgboost,0.0762700382876571,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.02473199999985809
split_fidelity,adult\distribution_matching\budget_100\seed_0\split_fidelity.json,adult,distribution_matching,budget_100,seed_0,xgboost,0.297520186947965,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.03156519999993179
