method,learner,rank
gradient_sampling,lightgbm,21.826923076923077
gradient_sampling,mlp,24.317307692307693
gradient_sampling,random_forest,23.778846153846153
gradient_sampling,xgboost,25.83653846153846
gradmatch_coreset,catboost,21.134615384615383
gradmatch_coreset,lightgbm,21.846153846153847
gradmatch_coreset,mlp,21.028846153846153
gradmatch_coreset,random_forest,20.365384615384617
gradmatch_coreset,xgboost,25.21153846153846
grand_coreset,catboost,21.442307692307693
grand_coreset,lightgbm,20.403846153846153
grand_coreset,mlp,27.432692307692307
grand_coreset,random_forest,24.971153846153847
grand_coreset,xgboost,25.41346153846154
herding,catboost,11.6
herding,lightgbm,11.307692307692308
herding,mlp,9.238461538461538
herding,random_forest,10.892307692307693
herding,xgboost,12.661538461538461
histdistill_density,catboost,8.03076923076923
histdistill_density,lightgbm,8.573076923076924
histdistill_density,mlp,8.861538461538462
histdistill_density,random_forest,7.642307692307693
histdistill_density,xgboost,8.507692307692308
histdistill_density_mid,mlp,14.73076923076923
histdistill_density_mid,xgboost,13.221153846153847
histdistill_density_strong,mlp,14.73076923076923
histdistill_density_strong,xgboost,13.221153846153847
histdistill_density_weak,mlp,15.615384615384615
histdistill_density_weak,xgboost,12.538461538461538
histdistill_density_xstrong,mlp,15.576923076923077
histdistill_density_xstrong,xgboost,12.64423076923077
histdistill_greedy,catboost,27.509615384615383
histdistill_greedy,lightgbm,27.201923076923077
histdistill_greedy,mlp,25.067307692307693
histdistill_greedy,random_forest,26.317307692307693
histdistill_greedy,xgboost,30.75
histdistill_importance,catboost,23.384615384615383
histdistill_importance,lightgbm,22.576923076923077
histdistill_importance,mlp,26.653846153846153
histdistill_importance,random_forest,24.653846153846153
histdistill_importance,xgboost,27.826923076923077
histdistill_linear_coverage,catboost,28.26923076923077
histdistill_linear_coverage,lightgbm,29.173076923076923
histdistill_linear_coverage,mlp,27.307692307692307
histdistill_linear_coverage,random_forest,28.826923076923077
histdistill_linear_coverage,xgboost,33.93269230769231
histdistill_no_refine,catboost,27.528846153846153
histdistill_no_refine,lightgbm,27.278846153846153
histdistill_no_refine,mlp,24.932692307692307
histdistill_no_refine,random_forest,26.35576923076923
histdistill_no_refine,xgboost,30.75
histdistill_no_weight_fit,catboost,27.692307692307693
histdistill_no_weight_fit,lightgbm,27.634615384615383
histdistill_no_weight_fit,mlp,25.634615384615383
histdistill_no_weight_fit,random_forest,28.26923076923077
histdistill_no_weight_fit,xgboost,32.15384615384615
histdistill_refined,catboost,8.223076923076922
histdistill_refined,lightgbm,8.419230769230769
histdistill_refined,mlp,9.146153846153846
histdistill_refined,random_forest,7.453846153846154
histdistill_refined,xgboost,8.538461538461538
histdistill_root_only,catboost,27.846153846153847
histdistill_root_only,lightgbm,28.26923076923077
histdistill_root_only,mlp,29.173076923076923
histdistill_root_only,random_forest,28.576923076923077
histdistill_root_only,xgboost,33.75961538461539
k_center,catboost,16.096153846153847
k_center,lightgbm,15.653846153846153
k_center,mlp,16.14903846153846
k_center,random_forest,16.125
k_center,xgboost,18.379807692307693
math_full,catboost,16.375
math_full,lightgbm,19.625
math_full,mlp,33.625
math_full,random_forest,34.625
math_full,xgboost,20.875
math_no_anchor,catboost,16.375
math_no_anchor,lightgbm,19.125
math_no_anchor,mlp,27.375
math_no_anchor,random_forest,34.0
math_no_anchor,xgboost,17.25
math_no_hist,catboost,18.25
math_no_hist,lightgbm,19.25
math_no_hist,mlp,23.75
math_no_hist,random_forest,31.125
math_no_hist,xgboost,19.5
math_no_newton,catboost,17.625
math_no_newton,lightgbm,25.25
math_no_newton,mlp,15.5
math_no_newton,random_forest,35.125
math_no_newton,xgboost,20.0
math_no_probes,catboost,31.75
math_no_probes,lightgbm,31.25
math_no_probes,mlp,33.375
math_no_probes,random_forest,27.5
math_no_probes,xgboost,24.5
math_no_soft_routing,catboost,30.5
math_no_soft_routing,lightgbm,30.25
math_no_soft_routing,mlp,42.625
math_no_soft_routing,random_forest,22.5
math_no_soft_routing,xgboost,25.75
math_root_only,catboost,19.625
math_root_only,lightgbm,29.25
math_root_only,mlp,44.0
math_root_only,random_forest,29.0
math_root_only,xgboost,19.25
math_tuned,catboost,21.375
math_tuned,lightgbm,21.5
math_tuned,mlp,30.3125
math_tuned,random_forest,25.5625
math_tuned,xgboost,28.125
math_tuned_more_probes,catboost,21.4375
math_tuned_more_probes,lightgbm,19.75
math_tuned_more_probes,mlp,32.5
math_tuned_more_probes,random_forest,25.5625
math_tuned_more_probes,xgboost,26.375
math_tuned_no_anchor,catboost,20.625
math_tuned_no_anchor,lightgbm,20.6875
math_tuned_no_anchor,mlp,23.4375
math_tuned_no_anchor,random_forest,24.6875
math_tuned_no_anchor,xgboost,27.3125
math_tuned_no_hist,catboost,19.8125
math_tuned_no_hist,lightgbm,21.0625
math_tuned_no_hist,mlp,34.9375
math_tuned_no_hist,random_forest,24.1875
math_tuned_no_hist,xgboost,29.9375
mvs_coreset,catboost,21.71153846153846
mvs_coreset,lightgbm,21.26923076923077
mvs_coreset,mlp,25.673076923076923
